s_0_score,s_10_score,s_11_score,s_12_score,s_1_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,,,1.38,,,,,2.38,,,,
3.0,,,,,,,,,,,3.0,
,,,,,,1.368,,4.088,,,,
,,,,,,,,,3.0,,3.0,
,,,,,,,1.796,2.876,,,,
,,,,,1.032,,,,,,0.992,
,3.0,3.0,,,,,,,,,,
3.0,3.0,,,,,,,,,,,
,3.0,,3.0,,,,,,,,,
,,,,,,,2.892,,,,,3.072
3.0,,,3.0,,,,,,,,,
3.0,,3.0,,,,,,,,,,
,,,,,,,,,3.0,3.0,,
,,,,,,,,2.992,,0.612,,
,2.484,2.584,,,,,,,,,,
,,,,,,3.0,,,,,,3.0
,,,,,,,,,3.0,,3.0,
,,,,,,,3.0,,3.0,,,
,3.0,,,,,,,,,3.0,,
,,,,,,3.0,,,,3.0,,
,,,,1.188,,,,2.748,,,,
,,,3.0,,,,,,,,,3.0
,,,,,,,,,,3.0,3.0,
,,,,,5.0,0.0,,,,,,
,3.0,,,,,,,,,,,3.0
,,,,3.0,,,1.82,,,,,
2.484,,,,,,,,2.504,,,,
3.0,,,,,,,,,,,,3.0
2.092,,,,,,,,2.112,,,,
,,,2.424,,,,,,3.384,,,
,3.0,,,,,,,,3.0,,,
,,,,,1.08,,,,0.98,,,
,,,,0.484,3.064,,,,,,,
,1.572,,,,,,,2.292,,,,
,3.0,,,,,3.0,,,,,,
,,,,,,1.02,,4.32,,,,
,,3.0,,,,,,,,3.0,,
,,,,,1.064,,,,,,,0.984
,,,,0.452,3.192,,,,,,,
,,,3.0,,,,,,,,3.0,
,,2.98,,0.62,,,,,,,,
,,,,,,,3.0,,,3.0,,
,,,,1.24,,,,,,,2.52,
,,,,,,,,1.844,1.764,,,
2.996,,,2.996,,,,,,,,,
,,0.996,,,1.016,,,,,,,
,,,,,,3.0,,,,,,3.0
,3.0,,,,,3.0,,,,,,
2.992,,,,,,,,,2.992,,,
,,,1.028,,,,,2.528,,,,
,,3.0,,,,,3.0,,,,,
,,3.0,,,,3.0,,,,,,
3.0,,,,,,3.0,,,,,,
,,,,,,,,,3.0,,3.0,
,,3.0,,,,,,,,3.0,,
,,,,4.04,,1.44,,,,,,
,,3.248,,,,,2.628,,,,,
,,3.0,3.0,,,,,,,,,
,,3.0,3.0,,,,,,,,,
,,2.916,,,,,,,,,2.916,
,,,,,3.032,,,,,0.492,,
,2.712,,2.692,,,,,,,,,
,3.0,,,,,,,,3.0,,,
2.568,,2.568,,,,,,,,,,
3.0,,,,,,,,,,,,3.0
,,3.0,,,,,,,,3.0,,
,,,,,,,,,,,3.0,3.0
,,,,1.256,,,,2.616,,,,
,,,,,,,,,,3.0,3.0,
,,,,,,,3.0,,,3.0,,
,,,,,,,3.0,,,,,3.0
,,,,,5.0,0.0,,,,,,
,,,,,,,,1.848,1.768,,,
,,,3.0,,,,,,,,3.0,
,3.0,,,,,3.0,,,,,,
,,,,,,,,1.516,,,,1.656
,,,,,,,,,3.0,,3.0,
,,,,,1.096,,,0.976,,,,
2.352,,,,2.352,,,,,,,,
,2.528,,,1.748,,,,,,,,
,,,,,,,,,3.0,,,3.0
3.0,,,,,,3.0,,,,,,
0.996,,,,,1.016,,,,,,,
,3.0,,,,,,,,3.0,,,
,,0.992,,,1.032,,,,,,,
3.0,,,,,,3.0,,,,,,
,,3.0,3.0,,,,,,,,,
,,,,,1.064,,,,0.984,,,
,,,,,,,,1.516,,,,1.656
,,,,,,,,,,3.0,3.0,
,3.0,,,,,,,,,,3.0,
,,,,1.832,,,,,,2.392,,
,,,,,,,3.0,,,,,3.0
3.0,,,,,,3.0,,,,,,
,,3.0,3.0,,,,,,,,,
,,,,,,,3.0,,,,3.0,
2.8,,2.8,,,,,,,,,,
,0.972,,,,1.112,,,,,,,
,,,,,,,,,2.636,2.036,,
2.964,,,,,,,,,,2.964,,
,,3.0,,,,,,,3.0,,,
,,,,,,,3.0,,,,,3.0
,,,,,,,,,3.0,,3.0,
,,,3.0,,,3.0,,,,,,
,,0.992,,,1.032,,,,,,,
,0.972,,,,1.112,,,,,,,
,,,,,3.032,,,,,0.492,,
2.092,,,,,,,,2.112,,,,
,,,,,1.032,,,,,,,0.992
,,,3.0,,,,,,,3.0,,
0.996,,,,,1.016,,,,,,,
,,,,0.496,3.016,,,,,,,
,3.0,,,,,3.0,,,,,,
,,,,,,3.0,,,,,,3.0
,,,2.18,,,,,,,,2.66,
2.204,,,,2.224,,,,,,,,
,,,,,1.032,,0.992,,,,,
2.988,,,,,,,,,3.008,,,
,,,,,1.032,,,,,,,0.992
,,,,,1.048,,,,,,0.988,
,,,,,,3.0,,,,,,3.0
,,,,,1.032,,0.992,,,,,
,,,1.228,,,,,2.408,,,,
3.0,3.0,,,,,,,,,,,
,,,,1.132,,,,,,,,2.552
,,,,2.148,,,,,,2.208,,
,,,,,1.064,,,0.984,,,,
,,,3.0,,,3.0,,,,,,
,,,,,,,3.0,,,3.0,,
3.0,,,,,,,,,3.0,,,
,,1.06,,,,,,1.06,,,,
,,,,,1.032,,0.992,,,,,
3.0,,,,,,,3.0,,,,,
,,,,,,,3.0,,,3.0,,
,3.0,,,,,,,,3.0,,,
,,,,,1.032,,0.992,,,,,
,0.968,,,,1.128,,,,,,,
,,,,,1.048,,,,,,0.988,
,,,,,,,,,,3.0,,3.0
,,,,,,,,,,,2.772,2.832
,,3.0,,,,3.0,,,,,,
,,2.832,1.792,,,,,,,,,
,,,,,1.064,,,,0.984,,,
,,,2.388,1.968,,,,,,,,
,,,3.0,,,,,,,,3.0,
,,,,,,0.696,,4.536,,,,
,,,,,,,,2.168,1.728,,,
,,3.0,3.0,,,,,,,,,
,,,,,4.936,,,,,0.016,,
,,,3.0,,,,,,,3.0,,
,3.0,,,,,,3.0,,,,,
,,,,,,,,,,3.0,3.0,
,,,,,,,3.0,,,,,3.0
,,,,,1.064,,,0.984,,,,
1.76,,,,,,,,1.78,,,,
3.0,,,,,,,,,,,3.0,
,,,,3.244,,,1.904,,,,,
,0.972,,,,1.112,,,,,,,
,,,,,,,,,,,3.0,3.0
,,,0.528,,2.888,,,,,,,
,,,,2.236,,,,,,2.276,,
,3.0,,,,,,3.0,,,,,
3.0,,,,,,3.0,,,,,,
3.0,,,,,,,,,3.0,,,
,,,3.0,,,,,,,,,3.0
,,,,1.06,,,,,,,,2.72
,,3.0,,,,,,,,,3.0,
,,3.0,,,,,,,,3.0,,
,,,,,1.032,,0.992,,,,,
,,,,,1.032,,0.992,,,,,
,,,,,,3.0,3.0,,,,,
,,3.0,3.0,,,,,,,,,
,,,3.0,,,,,,3.0,,,
,3.0,,,,,,,,3.0,,,
0.996,,,,,1.016,,,,,,,
3.0,,,,,,,,,,,,3.0
,,,,,,0.42,,4.72,,,,
,,,,,,,,4.196,,0.696,,
,,,3.0,,,,,,,,,3.0
,,,1.436,,,,,2.836,,,,
,,,,,,,,,,3.0,3.0,
,,,,1.328,,,,,2.628,,,
2.26,,,,2.26,,,,,,,,
,,,3.0,,,,,,3.0,,,
,1.536,,,,,,,1.816,,,,
,,3.0,,,,,,,,3.0,,
,,,,,,,,2.06,,,1.62,
,3.0,,,,,,,,3.0,,,
,0.972,,,,1.112,,,,,,,
,,3.0,,,,,,,,,3.0,
,,,3.0,,,,,,,,3.0,
,,,,,,,,1.088,,,,1.108
,3.0,,,,,,,,,,,3.0
,,,,,,3.0,,,,,,3.0
3.0,,,,,,,,,,3.0,,
,,,,,,,,,,,3.0,3.0
3.0,,,,,,,,,,,,3.0
0.996,,,,,1.016,,,,,,,
,,,,,2.904,,,,,0.524,,
,,,,1.268,,,,,,,2.748,
,3.04,,,,,,2.92,,,,,
3.0,,,,,,,,,3.0,,,
,,,1.448,,,,,2.808,,,,
2.408,,,,2.408,,,,,,,,
,,,,,,,,,,,3.0,3.0
,,,1.448,,,,,2.808,,,,
,,,3.0,,,,,,3.0,,,
,,3.0,,,,,,,,,,3.0
,,3.0,,,,,3.0,,,,,
,,,,,,,,,,2.436,2.816,
,,3.136,2.796,,,,,,,,,
,,,,,,1.668,,3.888,,,,
,,,,,1.032,,,,0.992,,,
,3.824,,,,,1.764,,,,,,
,3.0,,,,,,,,,3.0,,
,,,,,5.0,0.0,,,,,,
,,0.992,,,1.032,,,,,,,
,,,,,,,2.04,2.9,,,,
,,,,1.288,,,,,2.688,,,
,,,2.336,1.996,,,,,,,,
,,,,,2.904,,,,,0.524,,
,,,2.736,,,,,,,,2.936,
,3.0,,3.0,,,,,,,,,
,,,3.0,,,,3.0,,,,,
,,,,,,,,1.612,1.772,,,
,,,,,,,,,3.0,3.0,,
0.996,,,,,1.016,,,,,,,
,,,,1.248,,,,,,,2.888,
,,,,,,,,,3.0,3.0,,
,,,,0.56,2.76,,,,,,,
,,3.0,,,,,,,,,,3.0
,3.0,,,,,,,,3.0,,,
,,,,,,,,,,3.0,,3.0
,0.972,,,,1.112,,,,,,,
,,,,,,,,1.356,,,,1.796
,,3.0,,,,,,,3.0,,,
,2.968,,,,,,,,,,,2.968
,,,3.0,,,,,,,,3.0,
,,2.092,,,,,,1.332,,,,
,,,,,1.064,,,0.984,,,,
,3.0,3.0,,,,,,,,,,
,,,2.344,2.004,,,,,,,,
,,2.956,,0.596,,,,,,,,
,,,3.0,,,,,,,,,3.0
,,3.0,,,,,,,3.0,,,
,,,,,,1.764,,,,,3.824,
,,,,,,,2.868,,,,,3.088
,,,2.444,1.864,,,,,,,,
,,,,0.508,2.968,,,,,,,
,,2.96,,,,,,,,2.8,,
,,,,1.308,,,,,2.728,,,
,,,,,5.0,0.0,,,,,,
,,,,4.016,,1.476,,,,,,
3.0,,,,,,3.0,,,,,,
,,2.496,,,,,,,,,2.516,
3.0,,,,,,,,,,,,3.0
,,,,,,3.0,3.0,,,,,
,,,,,,,,2.568,,0.948,,
,,,,,,3.0,,,,,,3.0
,,0.992,,,1.032,,,,,,,
,,3.0,,,,,,,3.0,,,
,,,,0.94,,,,2.82,,,,
,,,,,,,,2.568,,0.948,,
,,,,1.496,,,,,,,2.776,
,,,,,,,,,,3.0,,3.0
,,0.996,,,1.016,,,,,,,
,,,,,,,,1.356,,,,1.796
,,,,,,,,1.356,,,,1.796
,,,,,,,3.0,,,3.0,,
,,,3.0,,,,,,3.0,,,
,3.0,,,,,3.0,,,,,,
,,3.0,3.0,,,,,,,,,
,3.0,,,,,3.0,,,,,,
3.0,,,,,,,3.0,,,,,
,,,,,5.0,0.0,,,,,,
3.0,,,,,,,,,,,,3.0
,,,,,,,,1.064,1.104,,,
,,0.996,,,1.016,,,,,,,
,,,,,,3.0,,,,3.0,,
,0.972,,,,1.112,,,,,,,
0.996,,,,,1.016,,,,,,,
,,3.0,,,,,3.0,,,,,
,2.36,,,1.7,,,,,,,,
,,,,,1.032,,0.992,,,,,
,,3.28,,,,2.58,,,,,,
,,,,,,,,1.356,,,,1.796
,,,,1.66,,,,,,,2.66,
,3.0,,,,,,3.0,,,,,
,3.0,,,,,,,,,,,3.0
2.996,,,2.996,,,,,,,,,
,,,,,,,,1.064,1.104,,,
,,,,1.068,,,,,,,,2.688
,,,2.42,,,,,,,3.34,,
,,3.032,,0.632,,,,,,,,
,,,,3.0,,,1.84,,,,,
,,1.68,,,,,,1.7,,,,
3.0,,,,,,,,,3.0,,,
,,,,,,3.0,3.0,,,,,
,3.0,,,,,,,,,3.0,,
,,,,0.54,2.84,,,,,,,
,,,,,,3.0,3.0,,,,,
,3.0,,,,,,,,,3.0,,
3.0,,,,,,,3.0,,,,,
,,,,,,,,2.312,2.032,,,
,,,,,,,,,1.56,,1.88,
,,3.012,,0.792,,,,,,,,
,,,,,5.0,0.0,,,,,,
0.996,,,,,1.016,,,,,,,
,,3.0,,,,,3.0,,,,,
2.556,,,,,,,,,,,2.556,
,,,,,5.0,0.0,,,,,,
,3.0,3.0,,,,,,,,,,
,,,,,,,,,3.0,,,3.0
,,2.836,,0.636,,,,,,,,
,,,,,1.032,,0.992,,,,,
,,,,,,,,,3.0,3.0,,
,,,,,1.064,,,,,,,0.984
,,,1.576,,,,,2.616,,,,
,,,,,,,3.0,,3.0,,,
,,,,,,,1.752,2.712,,,,
,,,3.0,,,,,,3.0,,,
,,,2.012,,,,,2.432,,,,
,3.0,,,,,,,,3.0,,,
,,,,,,,2.94,,,3.04,,
,,,,1.388,,,,,,,2.668,
,,3.0,,,,,3.0,,,,,
,,,,,,,,,,,3.0,3.0
,3.0,,,,,,,,,,3.0,
,,,,,5.0,0.0,,,,,,
,,,,,,,3.0,,,,3.0,
3.0,,,,,,,3.0,,,,,
,,,0.528,,2.888,,,,,,,
,,,,,2.904,,,,,0.524,,
,,,,,1.032,,,,0.992,,,
3.0,,,,,,,,,,3.0,,
,,,3.0,,,,,,3.0,,,
,,,,,,,3.0,3.0,,,,
,,3.0,,,,,,,,,,3.0
,3.008,,,,,,,2.968,,,,
,,3.0,,,,3.0,,,,,,
,0.98,,,,1.08,,,,,,,
,,,,3.088,,,1.888,,,,,
,,,,,,,,1.816,,,,1.676
,3.0,,,,,,,,,,3.0,
3.0,,,,,,3.0,,,,,,
,,,,,,,,1.816,,,,1.676
,,,,3.02,,,1.82,,,,,
,,,,1.236,,,,,,,,2.696
,,,3.0,,,3.0,,,,,,
3.0,3.0,,,,,,,,,,,
,,,,,,2.736,,,,3.176,,
2.184,,,,2.204,,,,,,,,
,,3.0,,,,,,,,,,3.0
,,,,,,,,1.816,,,,1.676
,,,,,,,,,3.0,,3.0,
3.0,,,,,,,,,,,,3.0
,,3.288,2.568,,,,,,,,,
,,,,,1.032,,0.992,,,,,
,3.0,,,,,,,,3.0,,,
3.0,3.0,,,,,,,,,,,
,,,3.0,,,,,,3.0,,,
,,0.996,,,1.016,,,,,,,
,,,2.46,,,,,,3.36,,,
,,,,,,,3.0,,3.0,,,
,3.0,,,,,,,,3.0,,,
,,,,,,,,,3.0,3.0,,
,3.0,,,,,,3.0,,,,,
3.0,,,,,,3.0,,,,,,
3.0,,3.0,,,,,,,,,,
3.0,,,,,,,,,3.0,,,
,,,,,,3.0,,,3.0,,,
,,,,,,,,2.288,,,1.608,
3.0,,,3.0,,,,,,,,,
,,,3.0,,,,,,3.0,,,
,3.0,,3.0,,,,,,,,,
,,3.0,,,,,3.0,,,,,
,,,,,,,2.252,3.092,,,,
,,3.0,,,,3.0,,,,,,
,,,,,,,1.924,2.984,,,,
,3.0,,,,,,,,,3.0,,
,,,2.9,,,,,,,,3.06,
,,,,1.028,,,,2.968,,,,
,,,,,,,,,,,2.68,2.66
,3.0,,,,,,,,,3.0,,
,,,3.0,,,,3.0,,,,,
,,,,,1.048,,,,0.988,,,
,,,2.208,2.208,,,,,,,,
3.0,,,,,,,3.0,,,,,
,,,,,,,,,,,3.0,3.0
3.0,,,3.0,,,,,,,,,
,,,,1.512,,,,,,,2.652,
,,,,,,,3.0,,,,3.0,
,,,,,,,,,,2.96,2.96,
,,,,,1.064,,,,,,0.984,
,,,3.0,,,,,,,,,3.0
,,,,,,,,,3.0,,3.0,
3.0,,,,,,,,,,,3.0,
,,,,,,2.868,,,,,3.088,
,3.0,,,,,3.0,,,,,,
,,,3.0,,,,,,,3.0,,
,,,,1.18,,,,2.74,,,,
,,,2.336,2.356,,,,,,,,
,,3.0,,,,,,,,3.0,,
,,,,,,,3.0,,3.0,,,
,3.0,,,,,3.0,,,,,,
,3.0,,3.0,,,,,,,,,
,0.976,,,,1.096,,,,,,,
,3.0,,,,,,,,,,3.0,
3.0,,,,,,,,,3.0,,,
,,,3.0,,,,,,,,,3.0
,,,,2.048,,,,,,2.288,,
,2.436,,,1.536,,,,,,,,
3.0,,3.0,,,,,,,,,,
3.0,,3.0,,,,,,,,,,
,,,,,,3.0,,,,,,3.0
,,,,,,2.58,,,,,3.28,
,,,,,,3.0,,,,3.0,,
2.556,,2.556,,,,,,,,,,
,,,,,,,,2.308,,,2.188,
,3.008,,,,,,2.988,,,,,
,3.0,,,,,,,,,,3.0,
,,,3.0,,,,,,,3.0,,
,,,,,,,,1.26,,,,1.5
,,,,,,0.06,,4.96,,,,
,,,,,2.904,,,,,0.524,,
,,,,,,3.0,,,,,,3.0
,,,,,,3.0,3.0,,,,,
,,3.0,,,,,,,,3.0,,
,,,,1.1,,,,,,,,2.64
,,,,,,,,,,,3.0,3.0
,,3.0,,,,,,,,3.0,,
,,,,,,,,,,3.0,,3.0
,,,,,,,,1.26,,,,1.5
,,,,,,,,1.26,,,,1.5
,3.0,,,,,,,,,,3.0,
,,,,,,,,,,,3.0,3.0
0.996,,,,,1.016,,,,,,,
,,,,,,,,,,3.0,3.0,
,,,,3.02,,,1.82,,,,,
,,,,,,,3.0,,,,,3.0
,,,,,2.904,,,,,0.524,,
3.0,,,,,,,3.0,,,,,
,,,,,1.048,,,,,,,0.988
,,3.0,,,,,,,,,3.0,
,,,,0.504,2.984,,,,,,,
,,,,,,,,,,,3.0,3.0
,,0.996,,,1.016,,,,,,,
,,,,,,2.22,,,3.52,,,
,3.0,,,,,3.0,,,,,,
,,,3.0,,,,,,,3.0,,
3.0,,,3.0,,,,,,,,,
,,,,,1.032,,0.992,,,,,
,,,2.652,,,,,,3.232,,,
,,,,,,,,2.38,,1.24,,
,3.0,,,,,,3.0,,,,,
,,,,,,,,,,3.0,3.0,
3.0,,3.0,,,,,,,,,,
,3.0,,,,,3.0,,,,,,
,,,,,,,3.0,,,,,3.0
,,,,,,,,,3.0,,,3.0
,,3.0,,,,3.0,,,,,,
,,,,,,,,,,3.0,3.0,
,,,,,,,,,3.0,3.0,,
,,,,,,3.0,3.0,,,,,
,,,,,,,3.0,,,3.0,,
3.0,,,,,,,,,,,,3.0
,,,,,,,,,,3.0,3.0,
,3.0,3.0,,,,,,,,,,
,,,,,,3.0,,,,,,3.0
,3.0,3.0,,,,,,,,,,
,,,,,,,,,2.592,,,2.592
,,,,,,0.06,,4.96,,,,
,,,,,4.936,,,,,0.016,,
,,3.0,,,,,3.0,,,,,
,,,,,1.096,,,,,,,0.976
,,1.156,,,,,,1.116,,,,
,,,,,5.0,0.0,,,,,,
,,,3.0,,,,,,,,,3.0
,,,0.504,,2.984,,,,,,,
,,,,,4.936,,,,,0.016,,
,,,,,,,,,,3.0,3.0,
3.0,,,3.0,,,,,,,,,
2.58,2.58,,,,,,,,,,,
,,2.648,,,,,,,,,,2.648
,,,,,1.064,,,,0.984,,,
,2.916,,,,,,,,,,2.916,
,,,,,,,3.0,,,,3.0,
,3.0,,,,,,,,,,3.0,
,,3.0,3.0,,,,,,,,,
,,,,,,,,,3.0,,,3.0
,,,,,,,,1.852,,,1.972,
3.0,,3.0,,,,,,,,,,
,,,,,1.048,,,,0.988,,,
,,3.0,3.0,,,,,,,,,
,3.008,,,,,,,,,2.988,,
,,,,,1.048,,,0.988,,,,
,3.0,,,,,,,,3.0,,,
,,,,,,,3.0,,3.0,,,
,0.976,,,,1.096,,,,,,,
,,,,,1.048,,,,0.988,,,
,,,,,,,,1.608,,,,1.928
,,,,,,,2.216,2.976,,,,
,0.976,,,,1.096,,,,,,,
3.0,,,,,,,,,,,3.0,
,,,,,,,,1.624,,,,1.944
,,1.1,,,,,,1.06,,,,
,,,,,,3.0,,,3.0,,,
,,,3.0,,,3.0,,,,,,
,,,,,,,2.216,2.976,,,,
,,,,,,,,,3.0,,,3.0
,,,,,,,,,2.024,,,3.244
,,,,,,,3.0,,,3.0,,
3.0,,,,,,,3.0,,,,,
,,,,,,3.0,,,,,3.0,
2.196,,,,2.216,,,,,,,,
,,,,,,,,,3.0,,3.0,
,,3.0,,,,,,,3.0,,,
3.0,,,,,,3.0,,,,,,
2.252,,,,2.252,,,,,,,,
,,,2.772,,,,,,,2.412,,
,,,,,,,,,2.024,,,3.244
,,,0.996,,,,,,,,,3.836
,,,,,,,2.988,,,,3.008,
,,2.184,,,,,,,,,1.404,
,3.0,,,,,,3.0,,,,,
,2.408,,,1.848,,,,,,,,
,,,0.996,,,,,,,,,3.836
,,,,1.152,,,,2.952,,,,
2.976,,,,,,,,,,2.976,,
,,,,,,3.0,3.0,,,,,
,,,3.0,,,,3.0,,,,,
,3.0,,,,,,,3.0,,,,
,,,,,,3.0,,,,3.0,,
,,3.0,,,,,,,,,3.0,
,2.58,,,,,,,,,2.56,,
,,,,,,,,,,3.0,3.0,
,3.0,,,,,3.0,,,,,,
,,,,,,,,,,0.82,,3.38
,,,,,,,,,,0.82,,3.38
,,3.0,,,,,,,,,3.0,
,,,,,,,,,3.0,3.0,,
,,,3.0,,,,,,,,3.0,
,,,,,,,,3.0,3.0,,,
,,,,,,,,2.448,,,,2.568
,3.004,,,,,,,2.984,,,,
,,,3.0,,,,,,3.0,,,
,,3.0,,,,,,3.0,,,,
3.0,,,,,,,,,3.0,,,
,2.668,,,1.228,,,,,,,,
2.46,,,,,,,,,,,,2.48
,,,,1.108,,,,,,,,2.788
,,,,,1.048,,,,,,,0.988
,,3.0,,,,,,,3.0,,,
,,,,2.988,,,1.848,,,,,
,,,,,,3.0,,,3.0,,,
,,,3.0,,,,3.0,,,,,
,,,,,1.128,,,,0.968,,,
,,,,,1.08,,,0.98,,,,
,,,,,,,3.0,,,3.0,,
,,,,3.936,,1.596,,,,,,
,,,,1.584,,,,,,,2.664,
,3.0,,,,,,,,,,3.0,
,,,,,,,,2.98,3.0,,,
,,,,,,,3.0,,,,3.0,
,,3.0,,,,,3.0,,,,,
,3.0,,,,,,,3.0,,,,
,2.16,,,,,,,,,,,2.18
,,,,,,3.0,,3.0,,,,
,3.0,,,,,,,3.0,,,,
,,2.904,,0.584,,,,,,,,
,,3.0,3.0,,,,,,,,,
,2.504,,,1.524,,,,,,,,
,,,,,,,3.0,,3.0,,,
,,,3.0,,,,,,3.0,,,
,,,3.0,,,,3.0,,,,,
0.996,,,,,1.016,,,,,,,
,,,,,1.032,,0.992,,,,,
,,,,,,,,,3.0,,3.0,
,2.16,,,,,,,,,,,2.18
,,,3.0,,,,,,,,3.0,
,,,,,4.936,,,,,0.016,,
,,,1.02,,,,,,,,,2.66
,,,,,,,,,,,1.424,1.884
2.688,2.688,,,,,,,,,,,
,,,,,,,,,3.0,,3.0,
,,,,4.048,,1.428,,,,,,
,,,,,4.92,,,,,0.02,,
,,3.0,,,,,,,,3.0,,
,,,,1.188,,,,,,,2.768,
,,,,,1.032,,0.992,,,,,
,,,,,1.016,,,,,,,0.996
3.0,,,,,,,3.0,,,,,
3.0,,,,,,,,,,,3.0,
,2.16,,,,,,,,,,,2.18
,,,,0.54,2.84,,,,,,,
,,0.996,,,1.016,,,,,,,
,2.188,,,1.928,,,,,,,,
,,,,,,,3.0,,,3.0,,
,3.0,,,,,3.0,,,,,,
,2.616,,,1.496,,,,,,,,
,3.0,,,,,,,,3.0,,,
,3.0,,,,,,,3.0,,,,
,3.0,,,,,,3.0,,,,,
,,,3.0,,,,,3.0,,,,
,2.784,2.804,,,,,,,,,,
,,,,,,,3.0,,,3.0,,
,2.492,,,,,,,,,,,2.532
,3.0,,,,,,3.0,,,,,
3.0,,,,,,,,,,3.0,,
,,,3.0,,,3.0,,,,,,
,,3.0,,,,,,,,3.0,,
,,,,1.868,,,,2.428,,,,
,,,1.02,,,,,,,,,2.66
,,,,3.992,,1.512,,,,,,
,,,0.532,,2.872,,,,,,,
,2.492,,,,,,,,,,,2.532
,,,,1.228,,,,,,,2.728,
,,3.0,,,,,,,,,3.0,
,,3.0,,,,,3.0,,,,,
,,,,,,,1.272,,,,,1.652
,,,,,,,,,,3.0,3.0,
,,,,,,,,3.0,,3.0,,
,,,,,4.936,,,,,0.016,,
3.0,,3.0,,,,,,,,,,
,2.924,,,1.304,,,,,,,,
,,,,,1.064,,,,,,0.984,
3.0,,3.0,,,,,,,,,,
,,,2.468,1.888,,,,,,,,
,,,3.0,,,,,3.0,,,,
,,,,1.42,,,,2.4,,,,
2.784,,,,,,,,,,,2.784,
,,1.176,,,,,,,,,,1.136
,,,,,,,,,1.084,,,1.084
,,0.996,,,1.016,,,,,,,
,,,0.528,,2.888,,,,,,,
,,,,,1.128,,,,0.968,,,
,,3.0,,,,,,,,3.0,,
,,3.0,,,,,,,,,3.0,
,,,,,,,,4.188,,0.768,,
,2.068,,,,,,,1.888,,,,
,,,1.02,,,,,,,,,2.66
3.0,,,,,,3.0,,,,,,
,,,2.592,,,,,,,3.272,,
,,,3.0,,,,,,,,3.0,
,1.924,,,,,,,2.104,,,,
,,,,,,,3.0,,,,3.0,
,,,,,,,,4.188,,0.768,,
,,0.992,,,1.032,,,,,,,
,,,,,,,,,3.0,,3.0,
,,,,,1.144,,,0.964,,,,
,3.0,3.0,,,,,,,,,,
,,,,,3.032,,,,,0.492,,
,,,,1.516,,,,,2.496,,,
,,,,,,0.108,,,,,,4.928
,,,,,,,,,,,1.4,1.86
3.0,,,,,,,3.0,,,,,
,3.0,,,,,,,,,,3.0,
,,,,1.112,,,,,,,,2.852
,3.0,,,,,,,,,,3.0,
,,,,3.196,,,1.916,,,,,
3.0,,,3.0,,,,,,,,,
,,3.0,,,,,,,,3.0,,
,,,,,,,,1.804,,,,2.764
,,,,1.22,,,,2.74,,,,
,3.0,,,,,,3.0,,,,,
,3.0,,,,,3.0,,,,,,
,2.396,,,1.596,,,,,,,,
,,,,1.096,,,,,,,,2.656
,,,,,,2.16,,,3.56,,,
3.0,,,,,,,,,3.0,,,
2.196,,,,,,,,,,,,2.216
,,3.0,,,,,,,3.0,,,
,,,,0.476,3.096,,,,,,,
,,,3.0,,,,,,,3.0,,
,,,,,,,,,1.084,,,1.084
,,,3.0,,,,3.0,,,,,
,,2.964,,0.624,,,,,,,,
,,,,,,,,3.0,,3.0,,
,,,,,,,3.0,,3.0,,,
,,,,1.228,,,,,,,,2.828
,,,,,,,,,,,1.424,1.884
3.0,,,,,,,3.0,,,,,
,,,1.364,,,,,,,,,2.524
,,,3.0,,,,3.0,,,,,
,,,,1.536,,,,2.536,,,,
,,,,,,,,,3.0,,3.0,
,3.0,,,,,,,,,3.0,,
3.0,,,,,,,,,3.0,,,
,,3.0,,,,,,,,3.0,,
2.22,,,,,,,,,,,,2.22
,,,,,1.144,,,0.964,,,,
,,2.8,,1.04,,,,,,,,
3.0,,,,,,,,,,3.0,,
,,,,4.0,,1.5,,,,,,
,,,,,,,,,3.0,,3.0,
3.0,,,,,,,,3.0,,,,
,,,3.0,,,,,3.0,,,,
,,,,4.0,,1.5,,,,,,
,,,3.0,,,3.0,,,,,,
,,,,,5.0,0.0,,,,,,
3.0,,,,,,,3.0,,,,,
,,,,1.44,,,,,,,,2.78
,3.0,,,,,,,3.0,,,,
,,,,4.064,,1.404,,,,,,
,2.456,,,1.616,,,,,,,,
,3.0,,,,,,,,3.0,,,
,,3.0,,,,3.0,,,,,,
,,,,3.196,,,1.956,,,,,
,,,,,,,1.272,,,,,1.652
,3.0,,,,,,,,,,,3.0
,,,3.0,,,3.0,,,,,,
,,,,0.988,,,,,,,3.028,
,,3.0,3.0,,,,,,,,,
,,3.0,,,,,,,,,,3.0
,,,,,,,,,3.0,3.0,,
,,,,,,3.0,,,3.0,,,
,,,,,,,,,,2.872,,3.052
,,,2.804,,,,,,3.124,,,
3.0,,,,,,,,,,,,3.0
,,2.644,,1.084,,,,,,,,
2.996,,,,,,,,2.996,,,,
,,,,,,,,3.0,,,,3.0
,,,,1.956,,,,,,2.276,,
3.0,,3.0,,,,,,,,,,
,3.0,3.0,,,,,,,,,,
,,3.0,,,,,3.0,,,,,
,,,,,,3.0,,,,3.0,,
,,3.0,,,,,,,,,,3.0
,,,,,,,2.772,,3.152,,,
,,,,,1.032,,0.992,,,,,
,,,,,,,,,,,3.0,3.0
,,,3.0,,,,,,,3.0,,
