s_0_score,s_10_score,s_11_score,s_12_score,s_13_score,s_14_score,s_15_score,s_16_score,s_17_score,s_18_score,s_19_score,s_1_score,s_20_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,,,,,,,,,,,,,,,,3.104,,,,2.844
,,,,,,,,,,,,,,,3.0,3.0,,,,
,,,,,,2.588,,,,,,2.448,,,,,,,,
,,,,3.492,,,,,,,,,,,2.092,,,,,
,,,,,,,,,,,,,,0.9,,,,,4.4,
,3.0,,,,,,,,,,,,,3.0,,,,,,
,,,,,,,,,,,,,,,,2.656,,1.456,,
,,,3.0,,,,,,,,,3.0,,,,,,,,
,,,,,,,,,3.0,,,,,,,3.0,,,,
,,,,,,,,,0.028,,,,4.888,,,,,,,
,,,,,,,2.42,,,,1.72,,,,,,,,,
,,,,0.992,,,,,,,,,1.032,,,,,,,
,,,,,,3.0,,3.0,,,,,,,,,,,,
,,,,,,2.908,,,,,,,,,,2.888,,,,
,,,,,,,,1.668,,,,,,,,,,,2.488,
,,,,,,,2.36,,,,1.66,,,,,,,,,
,,,3.0,,,,,3.0,,,,,,,,,,,,
,,,,,,,,2.996,,,,,,,,,,,,2.996
,,,,,,,1.364,,,,,,,,,,,2.444,,
,,,,,,,,,,,,,1.032,,,0.992,,,,
,,,,,1.852,,1.932,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2.656,,1.456,,
,,,,,,,,,,,,,,3.0,,3.0,,,,
,,,,,,,,,2.6,,1.7,,,,,,,,,
,,3.0,,3.0,,,,,,,,,,,,,,,,
,,,,,3.088,,,,,,,,,,2.248,,,,,
,1.944,,,,2.284,,,,,,,,,,,,,,,
,3.0,,,3.0,,,,,,,,,,,,,,,,
,,,,,,,,,,4.992,,,,0.012,,,,,,
,,,,,,,3.0,3.0,,,,,,,,,,,,
,,,1.156,,,,,,,,,,,,,,,,1.116,
,3.0,,,,,,,,,,,,,,,3.0,,,,
,2.176,,,,,,,,,2.756,,,,,,,,,,
,,,,,,,,,0.028,,,,4.888,,,,,,,
,,,,,,1.924,,,,2.024,,,,,,,,,,
,,3.0,,,,,,,,,,3.0,,,,,,,,
,,,,,3.092,,,,,,,,,,2.252,,,,,
,,,,,,,,,,,,,,0.096,,,,4.936,,
,,2.292,,,1.372,,,,,,,,,,,,,,,
,,,,2.008,,,,,,,,,,,,,,2.508,,
,,,,,,,,,,,,,1.048,,,,,,0.988,
3.0,,,,,,3.0,,,,,,,,,,,,,,
,,,,,,3.0,,,3.0,,,,,,,,,,,
,,,,,,,,,,3.004,,,,,2.984,,,,,
,,,,,,,,,,,,,1.032,,0.992,,,,,
,,,,,,,,,,,,,,,,3.0,,,,3.0
,,,,,,,3.0,,3.0,,,,,,,,,,,
,,,,,,,,,1.932,1.532,,,,,,,,,,
,,,,,,,,,3.0,,,,,,3.0,,,,,
,,,,,,,,,,,,,,0.9,,,,,4.4,
,,,,,,0.992,,,,,,,1.032,,,,,,,
,,,,,,,,,,1.632,,,,,,2.032,,,,
,,,3.0,,,,3.0,,,,,,,,,,,,,
,3.0,,,,,,,,,,,,,,,3.0,,,,
,,,,,,,,3.0,,,,,,,,,3.0,,,
,3.0,,,,,,3.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.064,,,1.124,,
,,,,,,,,,,,,3.008,,,2.988,,,,,
3.0,,,,,,,,,,,,,,,,3.0,,,,
,,,,,,,,3.0,,,,,,,3.0,,,,,
,,,,,,,,0.344,,,,,3.624,,,,,,,
,,1.58,,,,,,,,1.74,,,,,,,,,,
,,,,,,,,3.0,,,,,,3.0,,,,,,
,,2.436,,,,,,,,,1.496,,,,,,,,,
,,,,0.996,,,,,,,,,1.016,,,,,,,
,,,,,,,,,,,,,,,1.86,3.0,,,,
,,,,,,,,,,,,3.0,,,3.0,,,,,
,,1.128,,,,,,,,,,,,,,,,,1.108,
,,,1.248,,,,,,,1.088,,,,,,,,,,
,,,,,,,,,,,,,,3.0,,3.0,,,,
,,,,,,1.128,,,,,,,,,,,,,1.348,
,,,,,,1.672,,,,,,,,,,,,2.312,,
,,,,3.0,,,3.0,,,,,,,,,,,,,
,,,,1.784,,,,,,,,,,,,,,1.584,,
,,,,,,,,,,,,,,3.0,3.0,,,,,
,,,,3.008,,,,,,,,,,,2.988,,,,,
,,,,,1.268,,,,,,,,,,,,,,1.188,
,,,3.0,3.0,,,,,,,,,,,,,,,,
,,,,,,,,2.132,,,,,,,,,,,,2.332
,,,,,,,,,,,,,,3.0,,,,,,3.0
,,,,,,,,,,,,,,3.0,3.0,,,,,
,,,,,1.864,,1.944,,,,,,,,,,,,,
3.0,,,,,,,,,,,,3.0,,,,,,,,
,,,,,,3.0,,3.0,,,,,,,,,,,,
,,3.0,,,,,,3.0,,,,,,,,,,,,
,3.0,,,,,,,,,,,,,3.0,,,,,,
,,,,,,,,,,,1.964,,,,,,,,,2.444
,,2.972,,,,,,,2.732,,,,,,,,,,,
,,,,,,3.0,,3.0,,,,,,,,,,,,
,,,,,,,,1.2,,2.38,,,,,,,,,,
,,,,,,,,1.2,,2.38,,,,,,,,,,
,1.24,,2.88,,,,,,,,,,,,,,,,,
3.0,3.0,,,,,,,,,,,,,,,,,,,
,,,,,,,2.236,,,,,,,,,,,1.996,,
,,,,,,,,1.244,,2.404,,,,,,,,,,
,,,,,,3.0,,,,,,,,,,3.0,,,,
2.396,,,,,,,,,,2.416,,,,,,,,,,
,,,3.0,,,,,,,,,,,,3.0,,,,,
,,,0.98,,,,,,,,,,1.08,,,,,,,
,,,,,,,1.672,,,,,,,,,,,,2.152,
,,,0.984,,,,,,,,,,1.064,,,,,,,
,,,,,,,,,,,,3.0,,,,3.0,,,,
,,,,,,,,,0.124,,,,,,,,,4.764,,
,,,,,,,,2.616,,,1.376,,,,,,,,,
,,,,,,,,,,,,,1.032,,0.992,,,,,
,,,,,,,,,,,,,,,,,,,2.624,1.244
,,3.0,,,,,,,,,,,,,,,,,,3.0
,,,,,,,3.0,,,,,,,,,,,,,3.0
,,1.476,,,,,,,,1.296,,,,,,,,,,
,,,,,,,,,,,1.12,,,,,,2.64,,,
3.0,,,,,,,,,,,,,,,3.0,,,,,
,,,,,,,,,,3.264,,,,,1.984,,,,,
,,,1.34,,,,,,,,,,,,,,,1.16,,
,,,,2.032,,1.892,,,,,,,,,,,,,,
,,,,,1.092,,,1.112,,,,,,,,,,,,
,3.016,,,,,,,,,,,,,2.976,,,,,,
,,,,,,,,1.648,,1.348,,,,,,,,,,
,,,,3.0,,,3.0,,,,,,,,,,,,,
,,,1.3,,1.16,,,,,,,,,,,,,,,
,,,,,,,,3.0,3.0,,,,,,,,,,,
,,,,,1.324,,,,,,,,,,,,1.324,,,
,,3.0,,,,,,3.0,,,,,,,,,,,,
,,,,,,,,,1.752,,,,,,,,2.232,,,
,,,,,,,,,3.0,,,,,,,3.0,,,,
,,2.436,,,,,,2.376,,,,,,,,,,,,
,,,1.088,,,,,,,,,,,,,,,1.108,,
,,,,,,,,,3.0,,,,,3.0,,,,,,
,,,,,2.128,,,,,,,,,,,,,1.988,,
,,,,,,,,,,,,,3.336,,,,,,,0.416
,,,,,2.128,,,,,,,,,,,,,1.988,,
,3.0,,,,,,,,,,,3.0,,,,,,,,
3.0,,,,,,,,,,,,,,3.0,,,,,,
,,,,,1.236,1.176,,,,,,,,,,,,,,
,3.0,,,,,,,,,,,,,3.0,,,,,,
,3.0,,,,,,,,,,,3.0,,,,,,,,
,,,,,,,,,,,1.3,,,,,,2.46,,,
,,,2.752,,,,,,,,1.092,,,,,,,,,
,,,,,,,,,0.028,,,,4.888,,,,,,,
,,,,,,,3.0,,,,,,,,,3.0,,,,
,,2.98,,,,,,2.92,,,,,,,,,,,,
,,,,,,,,,,,,3.0,,,3.0,,,,,
,,1.528,,,,,,1.468,,,,,,,,,,,,
3.0,,3.0,,,,,,,,,,,,,,,,,,
,,,3.0,,,,,,,,,,,,,,3.0,,,
,,,,,,,,,,,1.14,,,,,,,2.86,,
,3.0,,,,,,,,,,,,,,,,3.0,,,
,,,,0.996,,,,,,,,,1.016,,,,,,,
,,,,,,3.0,,,,,,,,,,3.0,,,,
,,,,,,,,3.0,,,,,,,,3.0,,,,
,,,,,,,,,0.028,,,,4.888,,,,,,,
,,,,,,,,,,,,3.0,,,,,,,,3.0
,0.504,,,,,,,,,,,,2.984,,,,,,,
,,,,,,1.836,,,,,,,,,,,,2.016,,
,,,,,,,,,,,,,,0.9,,,,,4.4,
,,3.0,3.0,,,,,,,,,,,,,,,,,
,,3.0,,,3.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2.396,1.116
3.0,,,,,3.0,,,,,,,,,,,,,,,
,,3.0,,,,,,,,,,,,,3.0,,,,,
,,,,,,3.0,,,,,,,,,,3.0,,,,
3.0,,,,3.0,,,,,,,,,,,,,,,,
,,,,,,,,3.0,,,,,,,,,,,,3.0
,,,1.188,,,,,,,,,,,,,,,,1.128,
,,,,,,,,,,1.408,,,,,,,1.368,,,
,,,,3.0,,,,,,,,3.0,,,,,,,,
,,,,,,,,,,,3.252,,,,1.972,,,,,
,,,,,,,,,,,,0.34,,,,,,,4.36,
,,3.0,,,,,,,,,,,,3.0,,,,,,
,,,,,,1.904,,2.404,,,,,,,,,,,,
,,,,,,,,,,4.624,,0.144,,,,,,,,
,,,2.544,,,,,,,,1.364,,,,,,,,,
3.0,,,,,,,3.0,,,,,,,,,,,,,
,,,,,,3.0,,,,,,,,,,3.0,,,,
,,,,3.0,,,,,,,,,,,,3.0,,,,
,,,,,,,,,,,,,,3.0,,3.0,,,,
,,,1.172,,,,,,,1.172,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,3.0
,,,,,,3.0,,,,,,,,3.0,,,,,,
,,,,,,3.0,,,,,,,,3.0,,,,,,
,,,,,2.312,,,,,,,,,,,,,2.152,,
3.0,,,,,,,,,,,,,,3.0,,,,,,
,,,,,2.484,,,,,,,,,,,,,2.484,,
,,,,,,,,,,,,,,,,,,1.512,2.592,
,,,,,,,,,0.028,,,,4.888,,,,,,,
,,,,,,,,3.0,,,,,,,3.0,,,,,
,,3.0,,,3.0,,,,,,,,,,,,,,,
,,,,,,3.0,,,,,,,,,,,,,,3.0
,0.512,,,,,,,,,,,,2.952,,,,,,,
3.0,,,3.0,,,,,,,,,,,,,,,,,
2.184,,,,,,,,,,,2.184,,,,,,,,,
,,,,,,,,,3.0,,,,,,3.0,,,,,
,,,,,,,,,,1.508,,,,,,,,,1.468,
,,,,,,3.0,3.0,,,,,,,,,,,,,
,,,,,3.0,,,,3.0,,,,,,,,,,,
,,,3.0,,,,,,,,,,,,3.0,,,,,
,,,,,,1.624,,,,,,,,,,,,,2.244,
,,,0.996,,,,,,,,,,1.016,,,,,,,
,,,,,,,,,,,1.276,,,,,,,,,2.816
,,,,,,,,,,,4.016,,,1.476,,,,,,
2.264,,,,,,,,,,,2.264,,,,,,,,,
,,,,,,,,3.0,,,,,,,3.0,,,,,
,,,,,,,,,,,1.552,,,,,,,2.632,,
,,,,,,,,,2.616,,,2.496,,,,,,,,
,,,,,,,,3.0,,,,,,,3.0,,,,,
,,,,,,,,,,,,3.0,,,,3.0,,,,
,2.436,,,,,,,,,,,,,,,2.836,,,,
,,,,,,,,1.34,,,,,,,,,,,1.18,
,,,,,3.0,,3.0,,,,,,,,,,,,,
,,,,,,3.0,,,,,,3.0,,,,,,,,
,,,,3.0,,,,,,,,3.0,,,,,,,,
,,,2.152,,,,,,,,,,,,,,,,2.132,
,,,,,,,,,3.008,,,,,,,2.988,,,,
,,,,3.0,,,,,,,,,,,3.0,,,,,
,,,,,,,,,,2.372,,,,,,,,,,1.152
,,,,,,,,,,1.236,,,,,,1.316,,,,
,,,3.0,,,,,,,,,,,,3.0,,,,,
,,,0.996,,,,,,,,,,1.016,,,,,,,
,3.0,,,,,,,,,,,,,3.0,,,,,,
,,,,,,,,,,,,,,,3.0,3.0,,,,
,,,,,,,3.0,,,,,,,,,,3.0,,,
,,,,,,,,,,1.148,,,,,,,,,1.108,
,,,,,,,,,,,,,,,,,3.0,,,3.0
,,,,,3.0,,,,,,,,,3.0,,,,,,
,,,,,,,,,,,,,,,,,1.092,,1.112,
,3.0,,,,,,,,,,,,,,,,,,,3.0
,,,,,,,3.0,,3.0,,,,,,,,,,,
,,,,,,,,,2.224,,,2.464,,,,,,,,
,,,,,,,,,,,,3.0,,,3.0,,,,,
,3.0,,,,,,,,,,,3.0,,,,,,,,
3.0,,,,,,,,,,,,,,3.0,,,,,,
3.0,,,,,,,3.0,,,,,,,,,,,,,
,,,,,,,3.0,,,,,3.0,,,,,,,,
,,,,,,,,,,,,,1.016,,,,,0.996,,
,,,,,,,2.944,,,,,,,,,,,,,2.764
,,,,,1.144,,,,,,,,,,,,,1.224,,
,,,,3.0,,,,,,,,3.0,,,,,,,,
,,,,,,,0.988,,,,,,1.048,,,,,,,
,,,,2.524,,,,,,,1.904,,,,,,,,,
,,,,,,1.168,,,,2.428,,,,,,,,,,
,,,2.072,,,,,2.112,,,,,,,,,,,,
,,,,,,,,,3.0,,,,,,,3.0,,,,
,,,,,,,,,,,1.828,,,,,,,2.588,,
,,,,,,,,3.0,,,,,,3.0,,,,,,
,,,,,,,,,0.192,,,,,,,,,4.572,,
,,,,,,,,,,,,,,,,,1.356,1.396,,
,,,2.64,,2.04,,,,,,,,,,,,,,,
,1.048,,,,,,,,,,,,,,,,,,2.848,
,,,,,3.0,,,,,,,,,,3.0,,,,,
,,,,,3.0,,,,,,,,,3.0,,,,,,
,,,,,,,3.0,,,,,,,3.0,,,,,,
,1.544,,,,,,,,,,,,,,,,,1.704,,
,3.0,,,,,,3.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2.988,,,,3.008
,,,,1.092,,,,,,1.332,,,,,,,,,,
,,,,,2.288,,,,,,1.788,,,,,,,,,
,,,,,,1.12,,,,,,,,,,,,,1.24,
,,3.0,,,,,,,,,,,,3.0,,,,,,
,,,,,,,,,0.256,,,,,,,,,4.516,,
3.0,,,,,,,,,,,,,,3.0,,,,,,
,0.6,,,,,,,,,2.9,,,,,,,,,,
,3.0,,,,,,,,,,,,,,3.0,,,,,
,,,,,,,,,,,,3.0,,,,,,,,3.0
,,,3.0,3.0,,,,,,,,,,,,,,,,
,,,,,,1.512,,,,,,,,,,,,2.032,,
,,,,,,,,,0.192,,,,,,,,,4.572,,
3.0,,,3.0,,,,,,,,,,,,,,,,,
,,,,,1.128,,,,,,,,,,,,,,1.268,
,,3.0,,,,,,,,,,,,3.0,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,3.0
,,,,,,,,,,,,,1.032,,,,,,0.992,
,,,,,3.0,,,,3.0,,,,,,,,,,,
,,,,,,,1.092,,,2.072,,,,,,,,,,
,,,,,,,,,,,,,,,,,3.0,,,3.0
,,,,,,,,3.0,,,,,,,,,,,,3.0
,,,,,,,,,,2.544,,,,,,,,,,1.684
,,,,,,3.0,,3.0,,,,,,,,,,,,
,,,,,,,,,1.388,,,,,,,,,,3.028,
,,,,,3.0,,,,,,,3.0,,,,,,,,
,,3.0,,,,,,,,,,,,3.0,,,,,,
3.0,,,,,,,,,,,,,,,3.0,,,,,
,3.0,,,,,,,,,,,,,,,,,,,3.0
,,,,,,3.0,,,3.0,,,,,,,,,,,
,,2.78,,,,,,,,,,2.0,,,,,,,,
,,,,,,,3.0,,,,,,,,3.0,,,,,
,,,,,,,,,,,,,,3.0,3.0,,,,,
3.0,,,3.0,,,,,,,,,,,,,,,,,
,,,,,,,3.0,,,,,,,,,,,,,3.0
,,,,,3.0,,,,,,,,,,3.0,,,,,
,,,,,,,,,,,,,,,,,,1.04,1.12,
,,,,0.984,,,,,,,,,1.064,,,,,,,
,,,,,,,,,,,,,,,,1.056,,,1.216,
,,,,,,,,,,1.364,,,,,,,1.304,,,
,,,,,,,,,,,,3.0,,3.0,,,,,,
3.0,,,,,,,,,,,,,,3.0,,,,,,
,,,,,0.996,,,,,,,,1.016,,,,,,,
,,,,,,,,3.0,,,,,,3.0,,,,,,
,,2.756,,,,,,,,,1.316,,,,,,,,,
,,,,,,,,,,,3.904,,,1.644,,,,,,
0.996,,,,,,,,,,,,,1.016,,,,,,,
,,,,,,,,,,,,0.5,3.0,,,,,,,
,,3.0,3.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.0,0.0,,,,,,
,,,,,,,,,,1.252,,,,,,1.072,,,,
,,,,,,,,,,,,,,,2.64,,,,,3.24
,,,,,,,,,,,,,1.032,,0.992,,,,,
,,,,1.12,,,,,,,,,,,,,,,1.14,
,,,,,,,,,,,,,1.016,,,0.996,,,,
,,1.072,,,,,,,,,,,,,,,,,1.092,
,,,,2.6,,,,,,,1.88,,,,,,,,,
,,,,,,,,,3.0,,,,,,,,3.0,,,
,,,,,,,0.988,,,,,,1.048,,,,,,,
,,,,3.048,,,,,,,,,,,2.928,,,,,
,,,,,,,,,,,,1.372,,,,,,,3.012,
,,,3.0,,3.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3.0,,,3.0
,,,,,,,,2.744,,,1.204,,,,,,,,,
,,,,,,,,,,,,,,,1.508,,,3.928,,
,,,,,3.0,3.0,,,,,,,,,,,,,,
,,,,3.0,,,,,,,,,,,3.0,,,,,
,,,,,,,,,,4.992,,,,0.012,,,,,,
,,,,,2.272,,,,,,,,,,,,,2.072,,
,,,,,,,,3.0,,,,,,,3.0,,,,,
,,,,,1.696,,,,,,,,,,,,1.696,,,
,,,,,,,,,3.008,,,,,,,2.988,,,,
,,0.996,,,,,,,,,,,1.016,,,,,,,
,,,,,3.0,,,,,,,,,,3.0,,,,,
,,,1.068,,,1.048,,,,,,,,,,,,,,
,,,,,,,,3.0,,,,,,,,3.0,,,,
,3.0,,,,,,,,,,,,,,,,3.0,,,
,,,,3.0,,3.0,,,,,,,,,,,,,,
,,,,,,,,3.0,,,,,,,,,,,,3.0
,,,,,,1.512,,,,,,,,,,,,2.032,,
,,,,,,,,,,3.16,,,,,2.06,,,,,
,,,,,3.0,,,,,,,,,,,3.0,,,,
,,,,,,,3.0,,3.0,,,,,,,,,,,
,,,,,,,3.0,,3.0,,,,,,,,,,,
1.684,,,,,,,,,,1.704,,,,,,,,,,
,,,1.468,,,,,,,,,,,,,,,,2.368,
,,,,,,,,,,,,,,1.524,,,,,3.984,
,,,1.248,,,,,,,1.668,,,,,,,,,,
,,,,,2.308,,,,,,1.768,,,,,,,,,
,3.0,,,,,,,,,,,,,,3.0,,,,,
,,,,,,,,,,,,,,0.0,,,,5.0,,
2.92,2.92,,,,,,,,,,,,,,,,,,,
,,,,,,,0.984,,,,,,1.064,,,,,,,
,,,,,,,2.544,,,,,,,,,,,,,2.704
,,,,,,,,,,,,,5.0,0.0,,,,,,
,,,3.0,,,,,3.0,,,,,,,,,,,,
,,,,,,,,1.756,,,,,,,,,,1.736,,
,,,,,,,,,3.0,,,3.0,,,,,,,,
,,,3.0,,,,,,,,,,,,3.0,,,,,
,,,,,,,2.52,,,,1.48,,,,,,,,,
3.0,,,,,,,,,,,,,,,3.0,,,,,
,3.0,,,,,,,,3.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.788,,,1.868,
,,3.0,,,,,,,,,,,,,3.0,,,,,
,,3.0,,,,,,3.0,,,,,,,,,,,,
,,,,,,0.992,,,,,,,1.032,,,,,,,
,,,,,,,,,,,,,4.888,,,,,,,0.028
,,,,2.56,,,2.7,,,,,,,,,,,,,
,,,2.98,,,,,2.54,,,,,,,,,,,,
,,,,,0.996,,,,,,,,1.016,,,,,,,
,,2.624,,,,,,1.944,,,,,,,,,,,,
3.0,3.0,,,,,,,,,,,,,,,,,,,
,,1.564,,,,,,,,1.544,,,,,,,,,,
,,,,,,,3.0,,,,,,,,,3.0,,,,
,,,,,,1.628,,,,2.168,,,,,,,,,,
,,,,,,1.06,,,,,,,,,,,,,1.08,
,,3.0,,,,,3.0,,,,,,,,,,,,,
0.996,,,,,,,,,,,,,1.016,,,,,,,
0.996,,,,,,,,,,1.016,,,,,,,,,,
,,,,,3.0,,3.0,,,,,,,,,,,,,
,,,,,,,,2.488,,,1.508,,,,,,,,,
,,,3.0,,,,,3.0,,,,,,,,,,,,
,,,,,,3.0,,,,,,,,3.0,,,,,,
,,,,2.992,,2.992,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.392,,1.272,,
,,,,,,,,,,,0.58,,2.68,,,,,,,
3.0,,,,,,,,,,,,,,,,,3.0,,,
,,,,1.316,,,,,,,,,,,,,,,1.436,
,,,,,,,,,,,,,,,3.0,,,,,3.0
,,,,,,,,,,,,,,1.536,,,,,3.976,
,2.788,,,,,,,,,,,,,,,,,2.928,,
,,,,,,,,,,,,,,1.536,,,,,3.976,
,,,,,,,,,,,,,,3.0,,,3.0,,,
,,,,,,,,,,4.888,,,,,,,,,,0.028
,,2.668,,,,,,,2.368,,,,,,,,,,,
,,,,,,,,,,2.604,1.564,,,,,,,,,
,,,,,3.0,,,3.0,,,,,,,,,,,,
,,,,,,,,,3.0,,,,,,,,,,,3.0
,,,,,,,3.0,,,,,,,,,,,,,3.0
,,,,,,,,,,,,,1.048,,,0.988,,,,
3.0,,,,3.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1.368,,,,,,,3.028,
,,,,0.992,,,,,,,,,1.032,,,,,,,
3.0,,,,,,,,,,,,,,,,,,,,3.0
,3.0,,,,,,,,,,,,,,,,3.0,,,
,,,,,,,2.48,,,,1.78,,,,,,,,,
,,,,,,,,,,3.284,,1.984,,,,,,,,
,,,0.992,,,,,,,,,,1.032,,,,,,,
,,,,,,,,,,,,,,,3.0,,3.0,,,
,,,3.0,,,,,,,,,,,,,,3.0,,,
,,,,2.612,3.092,,,,,,,,,,,,,,,
,3.0,,,,,,,,,,,3.0,,,,,,,,
,,,,,0.996,,,,,,,,1.016,,,,,,,
,,,,,,,,,,,,,,3.0,,3.0,,,,
,,2.392,,,,,,,,,1.492,,,,,,,,,
,,,,,,2.372,,,,,,1.672,,,,,,,,
,,,3.0,,,,,,,,,,,3.0,,,,,,
2.92,,,,,,,,,,,,2.92,,,,,,,,
,,,,,,,,1.756,,,,,,,,,,1.736,,
,,,,,,,,,,,,,1.016,,,,,0.996,,
,,,,,,3.0,,,,,,,,,3.0,,,,,
,,,,,,,,,3.0,,,,,,,,,,,3.0
,,,,,,,,,,,,,,,,3.0,3.0,,,
,1.028,,,,,,,,,,,,,,,,,,2.728,
,,,,3.0,,,,,,,,,,,,,,,,3.0
,,,,,3.0,3.0,,,,,,,,,,,,,,
3.0,,,,,,,,,3.0,,,,,,,,,,,
,,,,,,,,3.0,,,,,,,,,,,,3.0
,,,,3.0,,,3.0,,,,,,,,,,,,,
,,,,3.0,,,,,,,,,,,,,,,,3.0
,,,,,,1.06,,,,,,,,,,,,,1.08,
,,,,3.008,,,,,,,,2.988,,,,,,,,
,,,,,,,,,,,,,,,2.16,,,,3.2,
0.996,,,,,,,,,,1.016,,,,,,,,,,
,,,,,2.384,,,,,,1.724,,,,,,,,,
,,,,3.0,,,,,,,,,,3.0,,,,,,
,,,3.0,,,,,,,,,,,,,,3.0,,,
3.0,,,,3.0,,,,,,,,,,,,,,,,
,,,,,,,,,,0.992,,,1.032,,,,,,,
,,,,,,3.0,,,,,,3.0,,,,,,,,
,,,,,,3.2,,,,,,,,,2.7,,,,,
,,,,,3.0,3.0,,,,,,,,,,,,,,
,,,,,,,3.0,,,,,,,,3.0,,,,,
,3.0,,,,,,,,,,,,,,,,3.0,,,
3.0,,,,,3.0,,,,,,,,,,,,,,,
,,,2.26,,,,,,1.46,,,,,,,,,,,
,,,,,,,,,,,,,,3.0,,,,,,3.0
,0.504,,,,,,,,,,,,2.984,,,,,,,
,,3.0,3.0,,,,,,,,,,,,,,,,,
2.92,2.92,,,,,,,,,,,,,,,,,,,
,,3.0,,,,,,,3.0,,,,,,,,,,,
,,,,,,,,,,,,,1.032,,,,,,0.992,
,,,,,,,,,,,,0.508,2.968,,,,,,,
,3.0,,,3.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,3.0,,3.0,,,,
,,3.0,,,,,,,,,,,,,,3.0,,,,
,,,,,,3.0,,,,,,,,3.0,,,,,,
3.0,,,,,,,,,,,,3.0,,,,,,,,
,,,,,,,,,,,0.508,,2.968,,,,,,,
,,,,,,,,,3.0,,,,,3.0,,,,,,
,,,,,,,,,,,,,,,,,,,2.648,1.408
,,,,,,,,2.476,,,1.636,,,,,,,,,
,,,,,3.0,,,,,,,,,,,3.0,,,,
,,,,2.664,,,,,,,,,,,,2.724,,,,
,,,,,,,,,,,,3.0,,,,,3.0,,,
,,,,,,3.0,,,3.0,,,,,,,,,,,
,,,,,,,,,,,,,1.032,,0.992,,,,,
,,3.0,,,,,,,,,,,,3.0,,,,,,
,,,,,,,,,,,,,1.048,,,,,,0.988,
,,3.0,,,,,,,,,,,,,3.0,,,,,
,,,,,3.0,,,,,,,,,,,,,,,3.0
,,,,3.0,3.0,,,,,,,,,,,,,,,
,,,,2.148,,,,,,,,,,,,2.328,,,,
,,,,,,,,2.52,,,,2.38,,,,,,,,
,,3.0,,,,,,,3.0,,,,,,,,,,,
,,,,,,,,3.0,,,,,,,3.0,,,,,
,,,,1.924,,,,,,,,,,,,,,1.944,,
,,,,,,,,,,,,,,,,,,1.096,1.116,
,,,,,,0.988,,,,,,,1.048,,,,,,,
,,,,,,,,3.0,,,,3.0,,,,,,,,
,,,,,,3.0,,,,,,,,,,,3.0,,,
,,,,,,,,,,,,3.0,,,,3.0,,,,
,,,,,,,,,,,,,,3.0,,3.0,,,,
1.06,,,,,,,,,,,,,,,,,,,1.08,
,,,,,,,,,,,,3.0,,,,3.0,,,,
,,,,1.096,,,,,,,,,,,,,,,1.136,
,,,,,,,,,,,,,,,3.0,,3.0,,,
,,,,,,,,,,,,,,,,,,1.076,1.156,
,,,,,3.0,,,,,,,,,,,,3.0,,,
,3.0,,,,,,,,,,,,,,,,,,,3.0
,,,,,,,,,,,,3.0,,,3.0,,,,,
3.0,3.0,,,,,,,,,,,,,,,,,,,
2.808,,,,,,,,2.808,,,,,,,,,,,,
,,,,,2.552,,,,,,1.772,,,,,,,,,
,,3.0,,,,,,3.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.096,1.156,,
,,,,,3.0,,,,,,,,,,3.0,,,,,
,,,,,,,,,3.0,,,,,,3.0,,,,,
,,,,,,3.0,,3.0,,,,,,,,,,,,
,,,,,,,,,,,,3.0,,,,,,,,3.0
,,,3.0,,,,,,,,,,,3.0,,,,,,
,,,,,,,,,0.892,,,,,,,,,,2.912,
,,,,,,,,,,,,1.444,,,,,,,2.424,
,,,2.76,,,,,,,,1.26,,,,,,,,,
,,,,,,,,,,,,0.508,2.968,,,,,,,
,,,,,,,,,,,,,,,,,3.0,,,3.0
,,,,,,3.0,,,,,,,,3.0,,,,,,
,,,,,,,,,3.248,,,,,2.628,,,,,,
3.0,3.0,,,,,,,,,,,,,,,,,,,
,,,3.0,,,,,,,,,,,,,,3.0,,,
,,,,,,,,,,,,3.0,,,3.0,,,,,
,,,,,,,,,,,1.272,,,,,,,,2.632,
,,,,,,,,,,,,3.0,,,3.0,,,,,
,,,,,,,,,,,,,,,3.0,,3.0,,,
,,,,,,,,,,,,,,,,,1.96,,1.54,
,,,,,,,,,0.968,,,,,,,,,,2.848,
,,,,,,,,,,,,,,,,,,1.084,1.224,
,,,,3.0,,,3.0,,,,,,,,,,,,,
,,,,,3.0,,,,3.0,,,,,,,,,,,
,3.0,3.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,3.0,,,,,,,3.0,,,,
