s_0_score,s_10_score,s_11_score,s_12_score,s_13_score,s_14_score,s_15_score,s_16_score,s_17_score,s_18_score,s_19_score,s_1_score,s_20_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
,,,,,,,,1.156,,,,1.216,,,,,,,,
,1.376,,,,,,,2.576,,,,,,,,,,,,
,,,,,,,0.976,,,,,,1.096,,,,,,,
,,,,,,1.236,,,,,,,,,,,,2.356,,
,,,,,,,,2.772,,1.372,,,,,,,,,,
,,,,,,3.048,,,,,,,,2.928,,,,,,
,,,,,,,2.336,,1.436,,,,,,,,,,,
,,,,,1.848,,,,,,,,,,,,,,2.228,
,,,,,,,,2.488,,,,,,,,,,,1.708,
,,,,,,,,,,,,,,,,,,,2.544,1.844
,,,,,,,,4.256,,,,,,1.116,,,,,,
,,,,,,,,,,,,,4.008,,,,,,0.248,
,,,,,,,,,,,1.188,2.588,,,,,,,,
,,2.412,,1.792,,,,,,,,,,,,,,,,
2.06,,,2.08,,,,,,,,,,,,,,,,,
,,,,,3.032,,,,,,,,,,2.932,,,,,
,,,,,,,,,2.72,,1.18,,,,,,,,,
1.024,,,,,,,,1.044,,,,,,,,,,,,
,,,,,,,,,,,,,,3.0,,,,,3.0,
,,,,2.108,,,,,,,2.288,,,,,,,,,
,,,1.668,,,,,,1.748,,,,,,,,,,,
,,,,,0.604,,,,3.584,,,,,,,,,,,
,1.28,,,,,2.58,,,,,,,,,,,,,,
2.228,,,,,,,,,,,,,,,,,,,,2.228
,,,,,,,,,,,,,,,,,2.668,,,1.188
,,2.736,,,,,,,,1.576,,,,,,,,,,
,2.296,,,2.156,,,,,,,,,,,,,,,,
,,2.108,,,,1.568,,,,,,,,,,,,,,
,,1.904,,,,,,,,,,,,,,,1.444,,,
,,,,,,,,1.108,1.208,,,,,,,,,,,
,,,,,,,,,1.056,,,,,,,,,,1.136,
,,,,,,,0.992,,,,,,,,,,,1.092,,
,,,,,,,,,2.584,1.224,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1.104,1.104,
,,,,,,,,2.556,,,1.436,,,,,,,,,
,,,,,,,,,,,,,,,,1.668,,,2.628,
,,,,,,,2.684,,,,,,,,,1.524,,,,
,,,,2.692,,,,,,,,,,,,2.092,,,,
,,,2.636,,,,,,,,1.216,,,,,,,,,
,,,,,3.032,,,,,,,,,,2.892,,,,,
,,,,,,,,,,,,,,1.548,,,,,,3.968
,,,,,,,,3.0,,,,,,,3.0,,,,,
,,,,,,,,,,,,,,,,1.54,,2.88,,
,,,,,,,,3.0,,,,,,3.0,,,,,,
,,,,,,,,,,,1.36,,,,,,,,2.52,
,,,,,1.324,,,,,,,2.664,,,,,,,,
,,,,,,,,,,0.028,,,4.888,,,,,,,
,,,,,,,,,,1.232,,,,,,,,2.092,,
,,0.988,,,,,,,,,,,1.048,,,,,,,
,,,,2.412,,,,,,,2.172,,,,,,,,,
,,,,2.648,,,,,,,,,,,,2.188,,,,
,,,2.712,,,,,,,,,,,,,,,,,1.252
,,,,,,,,,,,,,,,1.992,,,,3.652,
,,,,2.3,,,,,,,,,,,,,,,,2.1
,,,,,,,,,,,,,,,,,3.132,,,0.612
,,,2.488,1.328,,,,,,,,,,,,,,,,
3.0,,3.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1.032,3.032,,,
,,,,,,,2.476,,,,,,,,1.456,,,,,
,,,,,,,0.708,2.448,,,,,,,,,,,,
,,,,1.688,,,,,,2.548,,,,,,,,,,
,,,,,,,,,,2.736,1.536,,,,,,,,,
,,3.0,,,,,,,,,,,,,3.0,,,,,
,1.488,,,,,,,,,,,,,,,,,2.808,,
,,,,,0.604,,,,3.584,,,,,,,,,,,
,,,,,,,3.04,,,,,,,,,1.7,,,,
1.736,,,,,,,,,,,,1.756,,,,,,,,
,2.884,,,,,,,,,,,,,,,1.404,,,,
,,,,0.64,,,,,,,,,,,,,2.94,,,
,,,,,,,,,,,1.268,,,,,,,2.648,,
,,,,,,,,,1.708,,,,,,,1.108,,,,
,,,,,,,,,,,3.136,,,,1.836,,,,,
,2.928,,,,,,,,,,1.348,,,,,,,,,
,2.216,,,,,,,,,,,,,,1.696,,,,,
,,,,,,,,,,,4.008,,,1.488,,,,,,
,,,,,,,,2.8,,1.06,,,,,,,,,,
3.0,,,,3.0,,,,,,,,,,,,,,,,
,,,,1.184,,,,,,,,,,,,,,,2.684,
,,,,,,,,,,,,,,,,1.048,,,1.208,
,,,,2.18,,,,,,1.26,,,,,,,,,,
,,,,,,,,,,,,,,,,,3.232,,0.512,
,,,,,,,,2.824,,,,0.704,,,,,,,,
,,,,,,1.32,,,,,,,,,,,,2.28,,
,,,,,,,,,,,,,1.032,,,,0.992,,,
,,,,2.78,1.24,,,,,,,,,,,,,,,
3.0,,,,,,,,,,,,,,,,,,3.0,,
3.0,,,,,,,,,,,,,,,,,,3.0,,
,,,,,,,,,,,1.308,2.728,,,,,,,,
,,3.0,,3.0,,,,,,,,,,,,,,,,
,,,,,1.796,,,,,2.296,,,,,,,,,,
1.828,1.828,,,,,,,,,,,,,,,,,,,
,,2.596,,,,1.676,,,,,,,,,,,,,,
0.996,,,,,,,,,1.016,,,,,,,,,,,
,,,2.448,,,,,,,,,,,,,,,,,1.408
,,,,,,,,,,,,,,,,,1.088,,1.008,
2.228,,,,,,2.228,,,,,,,,,,,,,,
,,,,,,,,,,,0.64,,,,,,3.08,,,
,,,,1.28,,,,,,,,2.14,,,,,,,,
,,,,,,2.796,,,,,,,,,,1.136,,,,
,,,2.648,,,,,,,,1.348,,,,,,,,,
,,,,,,,,,,,0.608,,,,,,2.868,,,
