s_0_history_len,s_0_model_depth,s_0_score,s_1_history_len,s_1_model_depth,s_1_score,s_2_history_len,s_2_model_depth,s_2_score,s_3_history_len,s_3_model_depth,s_3_score
,,,2.0,2.0,2.288,,,,2.0,2.0,2.233
2.0,2.0,2.216,,,,2.0,2.0,2.301,,,
2.0,2.0,2.318,,,,2.0,2.0,2.173,,,
2.0,2.0,2.245,,,,2.0,2.0,2.18,,,
,,,,,,2.0,2.0,2.277,2.0,2.0,2.282
2.0,2.0,2.315,2.0,2.0,2.18,,,,,,
2.0,2.0,2.411,,,,,,,2.0,2.0,2.121
,,,2.0,2.0,0.535,,,,2.0,2.0,2.89
,,,2.0,2.0,0.515,,,,2.0,2.0,2.95
2.0,2.0,1.008,,,,,,,2.0,2.0,0.998
2.0,2.0,2.976,,,,2.0,2.0,0.506,,,
,,,2.0,2.0,0.49,2.0,2.0,3.055,,,
2.0,2.0,0.68,,,,,,,2.0,2.0,2.325
2.0,2.0,0.674,2.0,2.0,2.329,,,,,,
2.0,2.0,0.667,2.0,2.0,2.332,,,,,,
,,,,,,2.0,2.0,1.01,2.0,2.0,1.0
2.0,2.0,0.666,2.0,2.0,2.336,,,,,,
2.0,2.0,0.671,,,,2.0,2.0,2.331,,,
2.0,2.0,0.924,,,,,,,2.0,2.0,1.364
,,,2.0,2.0,1.004,2.0,2.0,0.999,,,
2.0,2.0,0.508,2.0,2.0,2.998,,,,,,
,,,,,,2.0,2.0,1.006,2.0,2.0,1.001
,,,2.0,2.0,1.008,,,,2.0,2.0,0.998
2.0,2.0,0.93,,,,2.0,2.0,1.295,,,
,,,2.0,2.0,1.004,2.0,2.0,0.999,,,
2.0,2.0,1.004,,,,2.0,2.0,0.999,,,
2.0,2.0,1.012,,,,,,,2.0,2.0,0.997
,,,2.0,2.0,1.008,2.0,2.0,0.998,,,
,,,,,,2.0,2.0,1.001,2.0,2.0,1.006
,,,2.0,2.0,1.006,,,,2.0,2.0,1.006
2.0,2.0,1.004,,,,2.0,2.0,0.999,,,
2.0,2.0,1.008,,,,2.0,2.0,0.998,,,
,,,,,,2.0,2.0,1.006,2.0,2.0,1.001
,,,,,,2.0,2.0,1.005,2.0,2.0,1.005
2.0,2.0,1.0,2.0,2.0,1.03,,,,,,
,,,2.0,2.0,1.004,2.0,2.0,0.999,,,
2.0,2.0,1.003,2.0,2.0,1.003,,,,,,
,,,,,,2.0,2.0,1.001,2.0,2.0,1.006
,,,2.0,2.0,1.007,2.0,2.0,1.002,,,
,,,2.0,2.0,1.008,,,,2.0,2.0,0.998
,,,2.0,2.0,1.004,2.0,2.0,0.999,,,
2.0,2.0,1.003,,,,2.0,2.0,1.003,,,
2.0,2.0,1.004,,,,2.0,2.0,0.999,,,
2.0,2.0,1.006,2.0,2.0,1.006,,,,,,
,,,,,,2.0,2.0,1.018,2.0,2.0,0.998
,,,2.0,2.0,1.003,2.0,2.0,1.003,,,
,,,2.0,2.0,1.008,,,,2.0,2.0,0.998
,,,,,,2.0,2.0,1.0,2.0,2.0,1.01
