s_0_score,s_10_score,s_11_score,s_12_score,s_1_score,s_2_score,s_3_score,s_4_score,s_5_score,s_6_score,s_7_score,s_8_score,s_9_score
1.984,,1.984,,,,,,,,,,
,,0.576,,,2.696,,,,,,,
,,,1.744,,,,,,2.404,,,
,,,,,,,,1.784,,,,1.724
,,,,,1.128,,,,,,0.968,
2.324,,,,2.324,,,,,,,,
,,,,,,,,,,0.988,1.048,
,,,,,,1.584,,,,,,3.944
,,,,1.9,,,,,,,,2.26
,,,,,,,,1.128,,,1.108,
,2.292,,1.952,,,,,,,,,
,,,1.836,,,,,,,,,2.456
,,2.128,,,,,,,2.008,,,
,,4.992,,,,0.012,,,,,,
,2.056,,,,,,,,,1.996,,
,,,1.832,,,,,,,,,2.512
,,,,,,0.012,,,,,4.992,
,1.992,,,,,,,1.992,,,,
,,,,,,0.0,,5.0,,,,
,,,,,,1.5,,4.0,,,,
,,,,,,,,,,2.0,,1.98
,,0.576,,,2.696,,,,,,,
,,,,,1.128,,,,,,0.968,
,,,0.472,,3.112,,,,,,,
,,,,,1.064,,,,0.984,,,
2.452,2.472,,,,,,,,,,,
,,,,,1.064,,,,0.984,,,
,,,,,,,,,,,2.084,1.184
,,4.992,,,,0.012,,,,,,
2.384,,,,,,,,,,2.384,,
,,,,1.772,,,,,2.512,,,
,,,,,1.032,,0.992,,,,,
,2.12,,,,,,,,,,,1.8
,,,3.236,,,,1.836,,,,,
,3.672,,,,,1.992,,,,,,
2.452,2.472,,,,,,,,,,,
,,,,,,3.0,3.0,,,,,
,,,,,,,1.588,,,,2.528,
,,,,,5.0,0.0,,,,,,
,,,,1.48,,,,,,,,2.7
,2.14,,1.98,,,,,,,,,
2.384,,,,,,,,,,2.384,,
,,,,,,,1.5,4.0,,,,
,,1.5,,,,,,,,,2.42,
2.384,,,,,,,,,,2.384,,
,,,,,,,1.84,,,,,3.14
,,,,,1.08,,,,0.98,,,
2.708,,,,,,,,2.728,,,,
,0.984,,,,,,,,,,1.124,
,1.928,,,,,,,,2.148,,,
,,,,,1.048,,,,,0.988,,
,,,,,,1.5,,,4.0,,,
,,,,,,1.488,,,4.008,,,
,,,1.796,,,,,,2.036,,,
,,,,,,2.988,,,,3.008,,
,,,0.032,,4.872,,,,,,,
,,,,,,1.584,,,,,,3.944
,,,2.38,1.78,,,,,,,,
,,1.616,,,,,,,,,2.276,
,,1.976,,,,,,2.016,,,,
,,,5.0,,,0.0,,,,,,
,3.888,,,,,1.668,,,,,,
0.996,,,,,1.016,,,,,,,
,,,,,5.0,0.0,,,,,,
,,,1.636,,,,,1.836,,,,
,,3.068,,,,,1.808,,,,,
,,,,,,,,1.948,1.948,,,
,,,1.944,,,,,1.684,,,,
,,,2.536,1.676,,,,,,,,
,,,,,3.384,,,,,,,0.404
,,,,,,,,,,1.54,,2.06
,,,,,,,,,1.952,2.092,,
,,,,1.644,,,,,,2.524,,
,,,,,,1.476,,,4.016,,,
,,2.18,,,,,,,,,,1.8
,,,,,,3.0,,,,,,3.0
,,,,,,3.0,3.0,,,,,
,,,,,,,3.0,,,,,3.0
,,1.94,,,,,,1.9,,,,
,,1.848,,,,,,,,,,1.968
,,,,,3.032,,,,,0.492,,
,,,,,,1.5,,4.0,,,,
,,,,3.88,,1.68,,,,,,
1.992,,,,,,,,,,2.012,,
2.108,,,,,,,,,2.128,,,
,,,,,,,,2.132,,,,1.892
,,,,,,0.012,,,,,4.992,
,1.772,,,,,,,,,2.052,,
2.152,,,,2.172,,,,,,,,
3.0,,,,,,3.0,,,,,,
,,,,1.86,,,,,2.24,,,
,,,,,,1.476,,,4.016,,,
3.0,,,,,,,,,,,,3.0
,,,,,,0.012,,,,,4.992,
,1.456,,,,,,,,1.376,,,
,2.544,,,1.624,,,,,,,,
,,1.864,,,,,,,,,,1.964
,0.98,,,,,,,,,,1.12,
2.048,,,,,,,,,2.068,,,
,,,,1.28,,,,,,,2.74,
,,,2.364,,,,,,,1.644,,
,,1.824,,,,,,,,2.124,,
,,,,,,,,,,,1.172,0.992
,,1.84,,,,,,,1.94,,,
,,,,,1.128,,,,,,0.968,
,,0.032,,,4.872,,,,,,,
,,,,,,,3.0,,,,,3.0
,,,1.864,,,,,,1.524,,,
,,1.94,,,,,,1.9,,,,
,,,0.988,,1.048,,,,,,,
,,1.84,,,,,,,1.94,,,
,2.064,,,,,,,,,,,1.964
3.0,,,,,,,,,,,,3.0
,1.876,1.916,,,,,,,,,,
,,1.94,,,,,,1.9,,,,
,,,,,1.112,,,,,,,0.972
,,0.032,,,4.872,,,,,,,
,,,,,,0.0,,,5.0,,,
,,,,,1.08,,,,0.98,,,
,,3.148,,,,,1.748,,,,,
,,,1.756,,,,,,,,1.456,
3.0,,,,,,,,,,,,3.0
2.208,,,,2.228,,,,,,,,
,,,,,,,,2.152,,,,1.732
,,,2.364,,,,,,,1.644,,
,,,,,1.032,,0.992,,,,,
3.0,,,,,,3.0,,,,,,
,,,2.076,,,,,1.676,,,,
,,,,,,,1.564,,3.884,,,
,,,,1.392,,,,2.592,,,,
,,,,1.776,,,,2.576,,,,
,,,,1.432,,,,,2.612,,,
,,2.456,,1.876,,,,,,,,
,,0.032,,,4.872,,,,,,,
,,1.276,,,,,,,,,2.096,
,3.672,,,,,1.992,,,,,,
3.0,,,,,,,,,,,,3.0
,,,,,,,,2.076,,1.656,,
,,,,1.34,,,,2.6,,,,
,,,,1.688,,,,,,2.468,,
,,,,1.728,,,,,,,,2.588
,3.672,,,,,,1.992,,,,,
,,,,,1.032,,0.992,,,,,
,,,,,,,,2.116,1.556,,,
2.748,,,,,,,,2.748,,,,
,,,0.988,,1.048,,,,,,,
,3.672,,,,,1.992,,,,,,
,,,,,,0.0,,,,5.0,,
,,,,,1.112,,,,,,,0.972
3.0,,,,,,3.0,,,,,,
,2.316,,,,,,,,,,1.476,
,,,,,,0.0,,,,5.0,,
,,,,0.516,2.936,,,,,,,
,,,,,,,,4.348,,,0.348,
,,1.696,2.016,,,,,,,,,
,,,1.972,,,,,,1.792,,,
1.992,,,,,,,,,,2.012,,
,,,,1.804,,,,,,2.244,,
,,,,,,0.036,,,,,4.976,
,,1.744,,,,,,,2.004,,,
,,,,3.992,,1.512,,,,,,
1.884,,,1.904,,,,,,,,,
,,,,,,,,2.076,,1.656,,
,,,,,,,,,2.272,,,1.612
,,,,,,3.0,,,,,,3.0
,,,,,,3.0,3.0,,,,,
,,,2.576,1.596,,,,,,,,
,1.964,,1.824,,,,,,,,,
1.992,,,,,,,,,,2.012,,
,,,,,3.032,,,,,0.492,,
,,,1.852,,,,,,,,1.792,
,,,,,,,1.572,3.152,,,,
,,,,,1.032,,,,0.992,,,
,,,,,,,,2.096,,,,1.996
,,3.1,,,,,1.74,,,,,
,1.96,,1.86,,,,,,,,,
,,2.108,,,,,,,,,,1.948
,,,,,2.936,,,,,,0.516,
,,,2.064,,,,,,1.644,,,
,,,2.088,,,,,1.628,,,,
,,,,,1.08,,,0.98,,,,
2.428,,,,,,,,,,,2.448,
,,,,,,,,,,0.288,4.388,
,,,,,,,2.392,,3.172,,,
,2.372,1.752,,,,,,,,,,
2.748,,,,,,,,2.748,,,,
,,,,3.96,,1.56,,,,,,
,0.984,,,,1.064,,,,,,,
,,2.132,,,,,,,,1.912,,
,1.568,,,,,,,,,,1.708,
,,,,,5.0,0.0,,,,,,
,,,,,,,,2.412,,1.212,,
,,,2.088,,,,,,1.788,,,
,,,,,,,1.472,2.492,,,,
,1.4,,,,,,,1.48,,,,
,3.68,,,,,1.98,,,,,,
,,,,1.684,,,,,,2.484,,
1.616,,1.636,,,,,,,,,,
,,1.576,,,,,,,,,2.276,
,,,,1.872,,,,,,2.472,,
,,0.496,,,3.016,,,,,,,
,0.988,,,,1.048,,,,,,,
,,,,,2.936,,,,,,0.516,
,,,,,1.048,,,0.988,,,,
,2.056,,,,,,,,,,,1.736
,,,,,,0.048,,,,,4.968,
,,,,,,,2.392,,3.172,,,
2.292,,,,2.292,,,,,,,,
,,2.108,,,,,,,,,,1.948
,,,,3.124,,,1.924,,,,,
,,2.108,,,,,,,,,,1.948
,,,,,,0.0,,5.0,,,,
,2.156,,,,,,,,,,,1.616
,0.988,,,,1.048,,,,,,,
,,,,,,,,1.188,,,,1.008
,3.336,,,,,,2.216,,,,,
,,,1.648,,,,,,,,1.668,
,,,1.112,,,,,1.092,,,,
,,,,,,,,1.208,1.008,,,
,2.076,,,,,,,,,1.796,,
,1.232,,,,,,,1.232,,,,
1.616,,1.636,,,,,,,,,,
,1.756,,1.996,,,,,,,,,
,,,,1.28,,,,2.52,,,,
,,,2.356,1.696,,,,,,,,
,,,,0.512,2.952,,,,,,,
,,,,1.768,,,,,,2.668,,
,,,0.996,,1.016,,,,,,,
