s_0_history_len,s_0_model_depth,s_0_score,s_1_history_len,s_1_model_depth,s_1_score,s_2_history_len,s_2_model_depth,s_2_score,s_3_history_len,s_3_model_depth,s_3_score
,,,10.0,10.0,0.85,,,,10.0,10.0,2.75
10.0,10.0,2.24,10.0,10.0,2.29,,,,,,
,,,,,,10.0,10.0,2.27,10.0,10.0,1.12
,,,,,,10.0,10.0,2.27,10.0,10.0,1.12
10.0,10.0,2.84,,,,10.0,10.0,2.84,,,
,,,10.0,10.0,0.64,,,,10.0,10.0,3.34
10.0,10.0,2.84,,,,10.0,10.0,2.84,,,
,,,10.0,10.0,1.29,,,,10.0,10.0,2.54
10.0,10.0,2.84,,,,10.0,10.0,2.84,,,
,,,10.0,10.0,0.62,,,,10.0,10.0,3.22
,,,10.0,10.0,1.02,,,,10.0,10.0,3.02
,,,10.0,10.0,0.96,,,,10.0,10.0,2.46
10.0,10.0,2.93,,,,,,,10.0,10.0,2.93
10.0,10.0,2.51,,,,10.0,10.0,2.51,,,
10.0,10.0,2.51,,,,10.0,10.0,2.51,,,
10.0,10.0,2.34,10.0,10.0,2.34,,,,,,
10.0,10.0,2.51,,,,10.0,10.0,2.51,,,
,,,,,,10.0,10.0,3.76,10.0,10.0,0.61
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,1.29,10.0,10.0,2.69,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,2.09,10.0,10.0,2.14,,,,,,
10.0,10.0,2.24,10.0,10.0,2.29,,,,,,
,,,10.0,10.0,1.46,10.0,10.0,2.36,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,2.93,,,,,,,10.0,10.0,2.93
,,,10.0,10.0,1.4,10.0,10.0,2.5,,,
10.0,10.0,2.93,,,,,,,10.0,10.0,2.93
10.0,10.0,2.93,,,,,,,10.0,10.0,2.93
10.0,10.0,2.93,,,,,,,10.0,10.0,2.93
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,2.07,10.0,10.0,2.07,,,,,,
,,,10.0,10.0,1.19,10.0,10.0,2.49,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,1.07,10.0,10.0,2.97,,,
,,,,,,10.0,10.0,3.76,10.0,10.0,0.61
,,,10.0,10.0,1.65,10.0,10.0,2.55,,,
10.0,10.0,2.17,10.0,10.0,2.22,,,,,,
10.0,10.0,2.9,,,,,,,10.0,10.0,2.9
,,,,,,10.0,10.0,4.27,10.0,10.0,0.32
,,,,,,10.0,10.0,4.23,10.0,10.0,0.33
10.0,10.0,1.35,,,,10.0,10.0,1.4,,,
10.0,10.0,2.4,10.0,10.0,2.4,,,,,,
,,,,,,10.0,10.0,4.23,10.0,10.0,0.33
,,,10.0,10.0,1.1,,,,10.0,10.0,2.7
10.0,10.0,1.35,,,,10.0,10.0,1.4,,,
10.0,10.0,2.86,,,,,,,10.0,10.0,2.91
10.0,10.0,2.31,10.0,10.0,2.31,,,,,,
,,,10.0,10.0,1.03,10.0,10.0,3.08,,,
10.0,10.0,1.35,,,,10.0,10.0,1.4,,,
10.0,10.0,2.06,10.0,10.0,2.11,,,,,,
10.0,10.0,1.35,,,,10.0,10.0,1.4,,,
10.0,10.0,2.86,,,,,,,10.0,10.0,2.91
10.0,10.0,2.86,,,,,,,10.0,10.0,2.91
,,,,,,10.0,10.0,4.23,10.0,10.0,0.33
10.0,10.0,2.08,10.0,10.0,2.08,,,,,,
10.0,10.0,2.86,,,,,,,10.0,10.0,2.91
10.0,10.0,2.86,,,,,,,10.0,10.0,2.91
,,,,,,10.0,10.0,4.23,10.0,10.0,0.33
,,,10.0,10.0,1.13,,,,10.0,10.0,3.23
,,,,,,10.0,10.0,4.23,10.0,10.0,0.33
,,,,,,10.0,10.0,4.23,10.0,10.0,0.33
,,,,,,10.0,10.0,4.4,10.0,10.0,0.35
10.0,10.0,2.86,,,,,,,10.0,10.0,2.91
,,,,,,10.0,10.0,4.23,10.0,10.0,0.33
,,,,,,10.0,10.0,4.23,10.0,10.0,0.33
10.0,10.0,2.21,10.0,10.0,2.26,,,,,,
,,,10.0,10.0,0.95,,,,10.0,10.0,2.75
10.0,10.0,2.36,,,,,,,10.0,10.0,2.36
10.0,10.0,2.38,10.0,10.0,2.38,,,,,,
,,,,,,10.0,10.0,2.83,10.0,10.0,0.63
10.0,10.0,2.36,,,,,,,10.0,10.0,2.36
10.0,10.0,2.36,,,,,,,10.0,10.0,2.36
,,,10.0,10.0,1.12,,,,10.0,10.0,2.82
10.0,10.0,2.36,,,,,,,10.0,10.0,2.36
,,,10.0,10.0,0.79,10.0,10.0,2.74,,,
,,,,,,10.0,10.0,2.83,10.0,10.0,0.63
,,,10.0,10.0,1.2,,,,10.0,10.0,2.65
,,,10.0,10.0,0.75,10.0,10.0,3.05,,,
,,,10.0,10.0,1.17,10.0,10.0,2.77,,,
,,,10.0,10.0,1.29,,,,10.0,10.0,2.89
,,,10.0,10.0,1.39,,,,10.0,10.0,2.84
10.0,10.0,2.26,10.0,10.0,2.26,,,,,,
10.0,10.0,1.35,,,,10.0,10.0,1.4,,,
10.0,10.0,2.86,,,,,,,10.0,10.0,2.91
,,,10.0,10.0,1.13,,,,10.0,10.0,2.68
10.0,10.0,2.86,,,,,,,10.0,10.0,2.91
,,,10.0,10.0,0.95,10.0,10.0,2.65,,,
,,,,,,10.0,10.0,2.53,10.0,10.0,0.73
10.0,10.0,1.35,,,,10.0,10.0,1.4,,,
,,,,,,10.0,10.0,2.58,10.0,10.0,0.68
,,,10.0,10.0,1.03,10.0,10.0,2.88,,,
,,,10.0,10.0,0.51,10.0,10.0,3.06,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,0.81,,,,10.0,10.0,2.96
10.0,10.0,2.08,10.0,10.0,2.08,,,,,,
10.0,10.0,2.29,10.0,10.0,2.29,,,,,,
,,,,,,10.0,10.0,2.35,10.0,10.0,1.2
,,,10.0,10.0,1.07,10.0,10.0,2.62,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,,,,10.0,10.0,2.35,10.0,10.0,1.2
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,,,,10.0,10.0,2.35,10.0,10.0,1.2
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.3,10.0,10.0,2.3,,,,,,
10.0,10.0,2.28,10.0,10.0,2.33,,,,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,1.27,10.0,10.0,2.57,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,1.41,,,,10.0,10.0,2.26
,,,,,,10.0,10.0,2.35,10.0,10.0,1.2
,,,10.0,10.0,0.67,10.0,10.0,3.12,,,
,,,,,,10.0,10.0,2.35,10.0,10.0,1.2
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,1.04,10.0,10.0,2.84,,,
,,,10.0,10.0,1.56,10.0,10.0,2.26,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,,,,10.0,10.0,2.35,10.0,10.0,1.2
,,,10.0,10.0,1.18,,,,10.0,10.0,2.78
,,,10.0,10.0,1.11,,,,10.0,10.0,2.41
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,2.79,,,,,,,10.0,10.0,2.79
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,,,,10.0,10.0,2.35,10.0,10.0,1.2
,,,10.0,10.0,0.82,,,,10.0,10.0,2.67
,,,10.0,10.0,1.05,10.0,10.0,2.65,,,
,,,,,,10.0,10.0,2.35,10.0,10.0,1.2
,,,10.0,10.0,0.83,,,,10.0,10.0,3.08
10.0,10.0,2.38,10.0,10.0,2.38,,,,,,
10.0,10.0,2.21,10.0,10.0,2.26,,,,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,2.29,10.0,10.0,2.29,,,,,,
,,,,,,10.0,10.0,2.35,10.0,10.0,1.2
,,,10.0,10.0,1.05,10.0,10.0,2.85,,,
10.0,10.0,2.18,10.0,10.0,2.23,,,,,,
,,,10.0,10.0,1.15,,,,10.0,10.0,2.55
,,,,,,10.0,10.0,2.35,10.0,10.0,1.2
10.0,10.0,2.11,10.0,10.0,2.16,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,,,,10.0,10.0,2.35,10.0,10.0,1.2
10.0,10.0,2.31,10.0,10.0,2.31,,,,,,
10.0,10.0,2.35,10.0,10.0,2.4,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,1.4,10.0,10.0,2.45,,,
10.0,10.0,2.31,10.0,10.0,2.36,,,,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,1.21,10.0,10.0,2.71,,,
,,,10.0,10.0,1.16,,,,10.0,10.0,2.66
,,,10.0,10.0,0.98,10.0,10.0,2.98,,,
,,,,,,10.0,10.0,2.34,10.0,10.0,1.14
,,,,,,10.0,10.0,2.34,10.0,10.0,1.14
,,,10.0,10.0,0.49,10.0,10.0,3.24,,,
10.0,10.0,2.28,10.0,10.0,2.33,,,,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,,,,10.0,10.0,2.34,10.0,10.0,1.14
,,,10.0,10.0,1.25,,,,10.0,10.0,2.7
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.98,,,,10.0,10.0,2.98,,,
10.0,10.0,2.25,10.0,10.0,2.3,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,0.62,10.0,10.0,2.92,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,0.68,10.0,10.0,2.88,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,0.57,10.0,10.0,3.12,,,
10.0,10.0,2.1,10.0,10.0,2.15,,,,,,
,,,,,,10.0,10.0,2.89,10.0,10.0,0.74
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,,,,10.0,10.0,2.89,10.0,10.0,0.74
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.27,10.0,10.0,2.32,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,,,,10.0,10.0,2.38,10.0,10.0,0.83
,,,,,,10.0,10.0,2.38,10.0,10.0,0.83
,,,,,,10.0,10.0,2.38,10.0,10.0,0.83
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,2.34,10.0,10.0,2.34,,,,,,
,,,10.0,10.0,0.54,,,,10.0,10.0,3.19
,,,,,,10.0,10.0,2.38,10.0,10.0,0.83
,,,10.0,10.0,0.67,,,,10.0,10.0,3.17
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,0.81,,,,10.0,10.0,2.96
10.0,10.0,2.32,10.0,10.0,2.37,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,0.76,10.0,10.0,2.61,,,
,,,,,,10.0,10.0,2.38,10.0,10.0,0.83
,,,10.0,10.0,0.67,,,,10.0,10.0,3.27
10.0,10.0,2.31,10.0,10.0,2.36,,,,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,0.6,10.0,10.0,2.95,,,
10.0,10.0,2.27,10.0,10.0,2.32,,,,,,
,,,10.0,10.0,0.83,,,,10.0,10.0,3.03
,,,10.0,10.0,0.76,,,,10.0,10.0,3.06
,,,10.0,10.0,0.82,,,,10.0,10.0,2.72
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,,,,10.0,10.0,1.99,10.0,10.0,1.34
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.98,,,,10.0,10.0,2.98,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,1.11,,,,10.0,10.0,2.61
,,,,,,10.0,10.0,2.38,10.0,10.0,1.48
,,,10.0,10.0,1.08,,,,10.0,10.0,2.73
,,,,,,10.0,10.0,2.38,10.0,10.0,1.48
,,,,,,10.0,10.0,2.38,10.0,10.0,1.48
,,,10.0,10.0,0.62,10.0,10.0,2.92,,,
10.0,10.0,2.28,10.0,10.0,2.28,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.37,10.0,10.0,2.37,,,,,,
10.0,10.0,2.98,,,,10.0,10.0,2.98,,,
,,,10.0,10.0,1.23,,,,10.0,10.0,3.08
,,,10.0,10.0,0.54,10.0,10.0,3.19,,,
,,,10.0,10.0,0.82,,,,10.0,10.0,3.07
,,,,,,10.0,10.0,2.38,10.0,10.0,1.48
10.0,10.0,2.2,10.0,10.0,2.2,,,,,,
,,,,,,10.0,10.0,2.38,10.0,10.0,1.48
10.0,10.0,2.98,,,,10.0,10.0,2.98,,,
,,,10.0,10.0,1.15,,,,10.0,10.0,2.85
,,,,,,10.0,10.0,1.36,10.0,10.0,1.26
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,,,,10.0,10.0,1.36,10.0,10.0,1.26
,,,,,,10.0,10.0,1.46,10.0,10.0,1.11
10.0,10.0,2.19,10.0,10.0,2.19,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.22,10.0,10.0,2.27,,,,,,
,,,,,,10.0,10.0,1.46,10.0,10.0,1.11
,,,,,,10.0,10.0,1.46,10.0,10.0,1.11
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,0.63,10.0,10.0,2.68,,,
,,,,,,10.0,10.0,1.19,10.0,10.0,1.19
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,1.07,,,,10.0,10.0,2.92
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,,,,10.0,10.0,1.19,10.0,10.0,1.19
10.0,10.0,2.27,10.0,10.0,2.27,,,,,,
10.0,10.0,2.24,10.0,10.0,2.24,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,1.21,,,,10.0,10.0,2.46
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,,,,10.0,10.0,2.58,10.0,10.0,0.83
10.0,10.0,2.31,10.0,10.0,2.31,,,,,,
10.0,10.0,2.37,10.0,10.0,2.42,,,,,,
10.0,10.0,2.3,10.0,10.0,2.3,,,,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,,,,10.0,10.0,2.58,10.0,10.0,0.83
,,,10.0,10.0,0.91,10.0,10.0,3.01,,,
,,,10.0,10.0,0.86,,,,10.0,10.0,2.81
,,,10.0,10.0,0.62,10.0,10.0,3.02,,,
,,,,,,10.0,10.0,2.58,10.0,10.0,0.83
,,,,,,10.0,10.0,2.58,10.0,10.0,0.83
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,,,,10.0,10.0,2.58,10.0,10.0,0.83
10.0,10.0,2.08,10.0,10.0,2.08,,,,,,
,,,10.0,10.0,0.68,10.0,10.0,3.13,,,
10.0,10.0,2.11,10.0,10.0,2.16,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,0.9,,,,10.0,10.0,2.9
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,,,,10.0,10.0,2.54,10.0,10.0,0.79
,,,10.0,10.0,0.63,10.0,10.0,2.73,,,
,,,,,,10.0,10.0,2.54,10.0,10.0,0.79
10.0,10.0,2.23,10.0,10.0,2.23,,,,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,1.44,,,,10.0,10.0,2.39
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,,,,10.0,10.0,2.5,10.0,10.0,0.8
,,,,,,10.0,10.0,2.54,10.0,10.0,0.79
,,,10.0,10.0,0.65,10.0,10.0,2.85,,,
,,,,,,10.0,10.0,2.54,10.0,10.0,0.79
,,,,,,10.0,10.0,2.54,10.0,10.0,0.79
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,0.77,10.0,10.0,2.87,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.14,10.0,10.0,2.14,,,,,,
10.0,10.0,2.29,10.0,10.0,2.34,,,,,,
10.0,10.0,2.26,10.0,10.0,2.31,,,,,,
,,,10.0,10.0,1.31,,,,10.0,10.0,2.76
,,,10.0,10.0,1.28,,,,10.0,10.0,2.93
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,0.59,10.0,10.0,2.89,,,
,,,10.0,10.0,1.24,,,,10.0,10.0,2.94
,,,10.0,10.0,1.79,,,,10.0,10.0,2.39
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.98,,,,10.0,10.0,2.98,,,
10.0,10.0,2.34,10.0,10.0,2.39,,,,,,
10.0,10.0,2.08,10.0,10.0,2.08,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,2.19,10.0,10.0,2.24,,,,,,
10.0,10.0,2.38,10.0,10.0,2.43,,,,,,
,,,10.0,10.0,1.5,,,,10.0,10.0,2.5
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,1.19,,,,10.0,10.0,2.54
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,,,,10.0,10.0,2.54,10.0,10.0,0.79
10.0,10.0,2.17,10.0,10.0,2.17,,,,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.26,10.0,10.0,2.31,,,,,,
10.0,10.0,2.24,10.0,10.0,2.29,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,,,,10.0,10.0,1.48,10.0,10.0,1.23
10.0,10.0,2.26,10.0,10.0,2.31,,,,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,,,,10.0,10.0,1.2,10.0,10.0,1.3
10.0,10.0,2.23,10.0,10.0,2.23,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,0.76,10.0,10.0,2.86,,,
10.0,10.0,2.31,10.0,10.0,2.31,,,,,,
10.0,10.0,2.16,10.0,10.0,2.21,,,,,,
10.0,10.0,2.34,10.0,10.0,2.34,,,,,,
,,,10.0,10.0,0.87,10.0,10.0,2.67,,,
,,,,,,10.0,10.0,1.3,10.0,10.0,1.05
10.0,10.0,2.3,10.0,10.0,2.35,,,,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,0.94,,,,10.0,10.0,2.89
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,2.2,10.0,10.0,2.25,,,,,,
,,,10.0,10.0,0.79,10.0,10.0,2.74,,,
,,,10.0,10.0,1.24,,,,10.0,10.0,2.54
,,,10.0,10.0,1.31,,,,10.0,10.0,2.71
,,,10.0,10.0,1.22,,,,10.0,10.0,2.82
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,,,,10.0,10.0,1.3,10.0,10.0,1.05
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,,,,10.0,10.0,1.45,10.0,10.0,1.05
,,,10.0,10.0,1.25,,,,10.0,10.0,2.65
,,,10.0,10.0,1.34,,,,10.0,10.0,3.04
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,0.8,10.0,10.0,2.9,,,
,,,10.0,10.0,1.35,,,,10.0,10.0,2.7
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,1.31,,,,10.0,10.0,2.61
,,,10.0,10.0,0.88,,,,10.0,10.0,2.78
10.0,10.0,2.12,10.0,10.0,2.12,,,,,,
,,,10.0,10.0,1.22,10.0,10.0,2.87,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,0.88,10.0,10.0,2.63,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,,,,10.0,10.0,3.98,10.0,10.0,0.63
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,0.93,10.0,10.0,2.88,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,1.05,,,,10.0,10.0,2.85
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.16,10.0,10.0,2.21,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,0.59,10.0,10.0,3.24,,,
10.0,10.0,2.21,10.0,10.0,2.21,,,,,,
10.0,10.0,2.27,10.0,10.0,2.27,,,,,,
,,,,,,10.0,10.0,2.75,10.0,10.0,0.8
,,,10.0,10.0,1.05,,,,10.0,10.0,3.05
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,0.7,10.0,10.0,2.9,,,
,,,,,,10.0,10.0,2.75,10.0,10.0,0.8
,,,10.0,10.0,0.56,10.0,10.0,3.21,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,0.78,,,,10.0,10.0,3.23
,,,10.0,10.0,0.62,10.0,10.0,2.92,,,
,,,10.0,10.0,1.31,,,,10.0,10.0,2.71
10.0,10.0,2.3,10.0,10.0,2.3,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,0.65,10.0,10.0,2.95,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.3,10.0,10.0,2.3,,,,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,,,,10.0,10.0,2.75,10.0,10.0,0.8
,,,,,,10.0,10.0,2.75,10.0,10.0,0.8
,,,10.0,10.0,1.46,,,,10.0,10.0,2.56
,,,10.0,10.0,0.48,10.0,10.0,3.28,,,
10.0,10.0,2.1,10.0,10.0,2.1,,,,,,
,,,10.0,10.0,1.26,,,,10.0,10.0,2.76
,,,,,,10.0,10.0,2.75,10.0,10.0,0.8
,,,,,,10.0,10.0,2.75,10.0,10.0,0.8
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,0.81,10.0,10.0,2.91,,,
10.0,10.0,2.2,10.0,10.0,2.25,,,,,,
,,,10.0,10.0,1.54,,,,10.0,10.0,2.49
10.0,10.0,2.27,10.0,10.0,2.27,,,,,,
,,,10.0,10.0,0.61,10.0,10.0,2.91,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,0.87,10.0,10.0,2.67,,,
,,,10.0,10.0,1.32,,,,10.0,10.0,2.57
10.0,10.0,2.19,10.0,10.0,2.24,,,,,,
,,,,,,10.0,10.0,2.75,10.0,10.0,0.8
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,,,,10.0,10.0,2.75,10.0,10.0,0.8
,,,,,,10.0,10.0,2.75,10.0,10.0,0.8
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
,,,10.0,10.0,0.73,10.0,10.0,2.88,,,
,,,10.0,10.0,0.65,10.0,10.0,3.05,,,
10.0,10.0,2.21,10.0,10.0,2.21,,,,,,
,,,10.0,10.0,0.59,,,,10.0,10.0,3.04
,,,,,,10.0,10.0,1.53,10.0,10.0,1.18
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,0.57,10.0,10.0,3.12,,,
,,,,,,10.0,10.0,1.53,10.0,10.0,1.18
,,,10.0,10.0,1.06,,,,10.0,10.0,2.61
,,,,,,10.0,10.0,1.78,10.0,10.0,1.18
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,1.18,,,,10.0,10.0,2.53
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,0.83,10.0,10.0,2.68,,,
,,,,,,10.0,10.0,1.27,10.0,10.0,1.07
,,,,,,10.0,10.0,1.34,10.0,10.0,1.09
,,,,,,10.0,10.0,1.27,10.0,10.0,1.07
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,1.42,,,,10.0,10.0,2.52
10.0,10.0,2.15,10.0,10.0,2.2,,,,,,
,,,10.0,10.0,1.34,,,,10.0,10.0,2.59
,,,10.0,10.0,1.8,,,,10.0,10.0,2.35
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,2.21,10.0,10.0,2.26,,,,,,
,,,,,,10.0,10.0,1.27,10.0,10.0,1.07
10.0,10.0,2.34,10.0,10.0,2.39,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.39,10.0,10.0,2.39,,,,,,
,,,10.0,10.0,0.92,10.0,10.0,2.67,,,
10.0,10.0,2.38,10.0,10.0,2.38,,,,,,
,,,10.0,10.0,1.33,,,,10.0,10.0,2.63
10.0,10.0,2.18,10.0,10.0,2.23,,,,,,
,,,10.0,10.0,0.62,10.0,10.0,3.22,,,
,,,10.0,10.0,1.34,,,,10.0,10.0,2.49
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,1.09,10.0,10.0,2.74,,,
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
10.0,10.0,2.28,10.0,10.0,2.28,,,,,,
,,,10.0,10.0,0.54,10.0,10.0,3.09,,,
10.0,10.0,2.38,10.0,10.0,2.38,,,,,,
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
10.0,10.0,2.99,,,,10.0,10.0,2.99,,,
,,,10.0,10.0,0.76,10.0,10.0,2.86,,,
,,,10.0,10.0,1.73,,,,10.0,10.0,2.28
,,,10.0,10.0,0.54,10.0,10.0,2.94,,,
,,,10.0,10.0,0.86,10.0,10.0,2.41,,,
,,,10.0,10.0,0.58,10.0,10.0,2.93,,,
,,,,,,10.0,10.0,1.45,10.0,10.0,1.05
10.0,10.0,3.0,,,,,,,10.0,10.0,3.0
